Force in X axis (N),Force in Y axis (N),Force in Z axis (N)
-6.40869,-5.18799,45.166
-5.79834,-5.49316,39.0625
-6.10352,-5.79834,47.6074
-5.18799,-6.40869,41.5039
-5.79834,-6.10352,36.6211
-4.57764,-7.01904,47.6074
-4.88281,-6.10352,34.1797
-5.18799,-5.79834,43.9453
-4.88281,-7.32422,43.9453
-4.27246,-7.62939,50.0488
-6.10352,-5.79834,45.166
-5.18799,-5.79834,43.9453
-6.10352,-5.79834,40.2832
-5.79834,-6.40869,46.3867
-5.79834,-5.49316,45.166
-5.18799,-4.88281,42.7246
-5.79834,-3.35693,40.2832
-5.18799,-6.40869,41.5039
-6.40869,-6.10352,48.8281
-5.18799,-6.40869,43.9453
-6.40869,-6.40869,43.9453
-5.49316,-6.40869,47.6074
-6.10352,-5.79834,51.2695
-6.71387,-5.79834,47.6074
-4.57764,-3.66211,40.2832
-5.49316,-5.18799,47.6074
-4.57764,-7.01904,40.2832
-4.88281,-6.40869,45.166
-6.40869,-6.10352,52.4902
-5.49316,-5.79834,45.166
-5.79834,-6.40869,42.7246
-6.10352,-5.18799,47.6074
-4.88281,-5.18799,41.5039
-5.18799,-4.57764,45.166
-6.10352,-6.10352,46.3867
-4.88281,-7.32422,47.6074
-4.27246,-6.71387,51.2695
-4.57764,-6.40869,41.5039
-5.18799,-5.49316,37.8418
-5.79834,-5.79834,43.9453
-5.18799,-5.49316,31.7383
-4.88281,-5.18799,37.8418
-6.71387,-5.18799,47.6074
-4.88281,-5.18799,41.5039
-5.18799,-5.18799,43.9453
-5.18799,-5.79834,43.9453
-5.49316,-6.71387,41.5039
-4.57764,-5.49316,46.3867
-7.01904,-5.18799,50.0488
-3.66211,-6.10352,42.7246
-4.57764,-6.40869,37.8418
-3.05176,-6.40869,39.0625
-5.18799,-4.88281,40.2832
-4.27246,-7.01904,42.7246
-4.88281,-4.88281,50.0488
-6.10352,-7.62939,42.7246
-2.74658,-6.40869,35.4004
-5.18799,-5.79834,41.5039
-7.62939,-3.05176,43.9453
-5.49316,-5.18799,45.166
-5.18799,-4.57764,50.0488
-4.88281,-5.79834,41.5039
-4.27246,-7.32422,37.8418
-4.88281,-5.79834,42.7246
-5.79834,-5.79834,42.7246
-5.18799,-6.71387,43.9453
-6.10352,-5.79834,52.4902
-5.49316,-4.88281,43.9453
-6.71387,-6.40869,39.0625
-5.18799,-6.10352,40.2832
-4.88281,-5.18799,37.8418
-5.18799,-6.40869,43.9453
-6.10352,-4.57764,45.166
-5.18799,-6.10352,37.8418
-4.88281,-7.32422,39.0625
-5.18799,-5.18799,50.0488
