Force in X axis (N),Force in Y axis (N),Force in Z axis (N)
-4.57764,-5.79834,46.3867
-5.49316,-5.18799,42.7246
-5.79834,-5.18799,40.2832
-4.88281,-6.40869,42.7246
-5.18799,-5.79834,41.5039
-5.79834,-5.49316,46.3867
-5.18799,-3.96729,43.9453
-4.88281,-6.40869,47.6074
-3.66211,-5.18799,37.8418
-6.71387,-3.66211,46.3867
-4.27246,-6.10352,46.3867
-4.57764,-6.71387,45.166
-5.18799,-5.79834,48.8281
-5.18799,-5.18799,40.2832
-6.40869,-4.88281,39.0625
-4.57764,-6.40869,42.7246
-6.40869,-6.10352,41.5039
-5.79834,-4.27246,47.6074
-4.88281,-5.49316,42.7246
-5.79834,-6.10352,37.8418
-3.96729,-6.10352,37.8418
-4.27246,-5.18799,46.3867
-4.88281,-5.49316,47.6074
-5.49316,-6.10352,42.7246
-6.71387,-6.10352,35.4004
-4.57764,-4.88281,40.2832
-6.10352,-3.66211,40.2832
-4.88281,-5.18799,46.3867
-6.71387,-4.57764,40.2832
-4.57764,-5.49316,39.0625
-3.96729,-5.79834,45.166
-4.88281,-5.49316,47.6074
-3.35693,-5.79834,40.2832
-4.57764,-6.40869,51.2695
-4.88281,-4.88281,45.166
-5.18799,-5.79834,40.2832
-3.96729,-5.49316,36.6211
-4.88281,-4.57764,34.1797
-5.18799,-7.01904,57.373
-4.27246,-5.79834,43.9453
-3.96729,-5.18799,42.7246
-3.96729,-3.66211,37.8418
-4.88281,-5.49316,42.7246
-4.88281,-5.79834,45.166
-4.57764,-5.18799,47.6074
-5.18799,-3.96729,35.4004
-4.27246,-5.18799,47.6074
-4.57764,-4.88281,46.3867
-3.66211,-5.18799,41.5039
-4.27246,-5.79834,39.0625
-3.66211,-6.40869,45.166
-2.74658,-5.49316,50.0488
-5.18799,-5.18799,43.9453
-4.88281,-4.57764,41.5039
-4.88281,-5.18799,47.6074
-3.66211,-5.18799,35.4004
-4.27246,-5.49316,40.2832
-4.88281,-5.49316,35.4004
-5.49316,-5.18799,45.166
-4.27246,-5.79834,42.7246
-5.49316,-5.49316,41.5039
-5.18799,-4.57764,37.8418
-4.57764,-5.18799,45.166
-3.66211,-4.57764,37.8418
-3.96729,-4.57764,43.9453
-3.35693,-5.79834,37.8418
-4.27246,-3.35693,41.5039
-4.57764,-4.88281,40.2832
-4.57764,-4.88281,43.9453
-3.66211,-7.32422,47.6074
-3.66211,-5.18799,43.9453
-4.57764,-3.96729,45.166
-3.35693,-5.79834,37.8418
-3.96729,-4.57764,37.8418
-2.74658,-6.10352,40.2832
-3.66211,-6.10352,45.166
-3.66211,-5.18799,36.6211
-3.35693,-7.62939,45.166
-4.88281,-5.79834,42.7246
-4.57764,-5.79834,43.9453
-4.27246,-7.32422,42.7246
-4.88281,-4.57764,37.8418
-3.66211,-6.40869,42.7246
-3.35693,-4.88281,42.7246
-3.35693,-6.10352,40.2832
-3.35693,-5.79834,40.2832
-5.49316,-4.88281,41.5039
-4.88281,-5.79834,40.2832
-5.18799,-6.10352,41.5039
-4.88281,-5.18799,42.7246
-4.27246,-5.79834,39.0625
-3.35693,-7.01904,42.7246
-3.66211,-5.18799,37.8418
-4.88281,-6.10352,41.5039
-4.27246,-5.79834,48.8281
-4.88281,-4.88281,45.166
-3.96729,-5.79834,34.1797
-3.96729,-6.40869,39.0625
-3.96729,-5.49316,37.8418
-4.88281,-4.57764,42.7246
-5.18799,-4.27246,37.8418
-4.27246,-5.18799,42.7246
-4.57764,-5.79834,40.2832
-4.57764,-6.10352,42.7246
-3.35693,-7.93457,45.166
-5.18799,-5.79834,42.7246
-4.88281,-6.10352,40.2832
-3.35693,-5.49316,47.6074
-3.66211,-6.10352,52.4902
-4.57764,-5.18799,47.6074
-4.57764,-5.79834,45.166
-4.57764,-6.10352,42.7246
-4.88281,-4.57764,43.9453
-3.35693,-5.79834,32.959
-5.49316,-5.79834,37.8418
-3.96729,-5.49316,45.166
-4.27246,-4.88281,45.166
-3.35693,-4.57764,41.5039
-3.96729,-6.10352,41.5039
-5.79834,-5.18799,40.2832
-3.35693,-7.01904,47.6074
-3.96729,-5.79834,45.166
-3.66211,-6.10352,37.8418
-5.18799,-5.18799,36.6211
-4.57764,-5.18799,41.5039
-6.10352,-4.88281,47.6074
-5.18799,-5.79834,41.5039
-5.18799,-5.79834,39.0625
-4.88281,-5.79834,40.2832
-4.27246,-5.79834,43.9453
-5.18799,-6.10352,45.166
-4.57764,-4.88281,50.0488
-5.18799,-5.18799,48.8281
-4.27246,-5.79834,39.0625
-5.18799,-5.49316,47.6074
-3.66211,-5.79834,32.959
-5.18799,-5.49316,43.9453
-4.88281,-5.49316,46.3867
-6.71387,-5.79834,50.0488
-4.27246,-4.88281,32.959
-3.66211,-4.88281,42.7246
-5.18799,-5.79834,39.0625
-5.18799,-6.71387,46.3867
-4.57764,-6.40869,42.7246
-3.96729,-6.10352,39.0625
-3.66211,-7.01904,43.9453
-4.27246,-5.79834,45.166
-5.49316,-5.18799,48.8281
-3.66211,-5.79834,40.2832
-5.79834,-5.18799,41.5039
-4.57764,-3.96729,35.4004
-4.57764,-5.49316,40.2832
-5.18799,-4.57764,41.5039
-4.27246,-4.27246,45.166
-5.49316,-6.71387,39.0625
-4.88281,-5.49316,41.5039
-4.88281,-5.49316,40.2832
-3.66211,-5.18799,45.166
-4.27246,-4.88281,41.5039
-4.27246,-4.88281,47.6074
-4.88281,-5.18799,47.6074
-5.18799,-5.79834,42.7246
-3.96729,-7.01904,36.6211
-4.88281,-6.10352,45.166
-4.27246,-6.10352,41.5039
-5.79834,-6.10352,42.7246
-4.88281,-5.18799,46.3867
-4.57764,-5.18799,40.2832
-3.35693,-5.49316,42.7246
-4.88281,-6.10352,39.0625
-3.35693,-5.18799,41.5039
-4.57764,-6.10352,51.2695
-3.66211,-5.49316,42.7246
-5.79834,-5.49316,41.5039
-4.27246,-5.79834,40.2832
-3.66211,-5.49316,43.9453
-4.57764,-5.18799,46.3867
-5.18799,-4.57764,42.7246
-3.35693,-5.79834,40.2832
-5.79834,-5.79834,35.4004
-4.88281,-5.18799,45.166
-5.18799,-5.18799,52.4902
-3.05176,-3.96729,32.959
-4.88281,-5.49316,39.0625
-5.49316,-5.18799,46.3867
-3.96729,-5.18799,45.166
-5.18799,-5.18799,43.9453
-4.27246,-5.49316,39.0625
-5.18799,-6.40869,39.0625
-4.57764,-4.88281,43.9453
-5.18799,-3.96729,43.9453
-6.10352,-4.57764,48.8281
-4.27246,-5.18799,40.2832
-5.79834,-3.96729,35.4004
-3.96729,-4.57764,39.0625
-3.96729,-7.62939,48.8281
-4.57764,-5.18799,43.9453
-4.88281,-4.88281,42.7246
-2.74658,-7.01904,42.7246
-4.57764,-6.71387,40.2832
-5.79834,-6.10352,46.3867
-5.49316,-4.88281,34.1797
-4.88281,-4.27246,47.6074
-5.79834,-4.57764,39.0625
-4.88281,-4.57764,31.7383
-4.27246,-5.18799,42.7246
-4.57764,-5.18799,43.9453
-4.27246,-5.18799,30.5176
-4.57764,-5.79834,42.7246
-4.88281,-5.79834,41.5039
-4.88281,-6.71387,50.0488
-4.88281,-6.10352,41.5039
-3.96729,-4.57764,36.6211
-4.88281,-5.18799,39.0625
-5.18799,-4.88281,39.0625
-5.79834,-4.57764,45.166
-4.88281,-5.18799,40.2832
-4.27246,-5.18799,39.0625
-2.44141,-4.88281,32.959
-4.27246,-5.18799,39.0625
-4.57764,-6.71387,46.3867
-4.27246,-7.32422,53.7109
-5.79834,-4.88281,46.3867
-5.18799,-5.49316,39.0625
-5.49316,-5.79834,41.5039
-6.10352,-5.79834,46.3867
-4.57764,-5.79834,46.3867
-4.88281,-5.18799,43.9453
-4.27246,-4.88281,41.5039
-4.57764,-3.96729,37.8418
-4.57764,-4.57764,48.8281
-4.57764,-5.18799,40.2832
-4.57764,-5.18799,39.0625
-4.88281,-4.57764,46.3867
-4.27246,-4.57764,53.7109
-3.66211,-5.79834,41.5039
-3.96729,-5.49316,40.2832
-4.88281,-5.49316,42.7246
-5.49316,-4.57764,42.7246
-4.88281,-5.18799,47.6074
-5.18799,-4.88281,40.2832
-4.57764,-4.27246,39.0625
-4.88281,-4.57764,37.8418
-5.49316,-5.79834,41.5039
-3.66211,-4.57764,46.3867
-2.13623,-6.10352,41.5039
-5.18799,-5.18799,45.166
-3.66211,-4.88281,40.2832
-4.88281,-5.18799,43.9453
-2.74658,-5.18799,46.3867
-4.88281,-4.57764,47.6074
-3.96729,-4.88281,39.0625
-4.57764,-4.88281,32.959
-4.88281,-5.18799,41.5039
-4.27246,-4.88281,41.5039
-4.88281,-4.88281,39.0625
-3.66211,-4.27246,47.6074
-4.27246,-4.27246,46.3867
-5.79834,-3.96729,40.2832
-4.27246,-5.18799,37.8418
-5.79834,-5.79834,42.7246
-5.49316,-5.79834,47.6074
-3.96729,-5.79834,45.166
-4.27246,-5.18799,40.2832
-4.88281,-4.57764,45.166
-5.18799,-4.88281,45.166
-4.57764,-4.57764,41.5039
-6.10352,-2.44141,47.6074
-4.88281,-3.35693,31.7383
-4.88281,-3.96729,40.2832
-3.35693,-5.18799,41.5039
-4.27246,-3.96729,41.5039
-3.96729,-4.88281,41.5039
