Force in X axis (N),Force in Y axis (N),Force in Z axis (N)
12.5122,-3.35693,37.8418
12.207,-4.27246,35.4004
11.5967,-3.66211,32.959
13.1226,-3.96729,30.5176
12.207,-3.66211,34.1797
11.9019,-3.35693,39.0625
11.5967,-3.66211,36.6211
11.5967,-3.66211,34.1797
13.4277,-4.57764,29.2969
10.6812,-4.57764,41.5039
10.9863,-4.88281,36.6211
12.5122,-4.27246,39.0625
12.207,-3.35693,37.8418
12.207,-2.44141,41.5039
11.5967,-4.88281,37.8418
12.8174,-3.96729,31.7383
11.2915,-1.52588,23.1934
13.1226,-5.18799,34.1797
10.9863,-3.66211,37.8418
12.207,-4.27246,31.7383
12.207,-3.05176,32.959
11.2915,-2.74658,28.0762
11.5967,-4.88281,39.0625
12.8174,-3.66211,32.959
11.9019,-1.83105,34.1797
11.9019,-4.57764,39.0625
11.9019,-3.66211,40.2832
10.6812,-3.96729,34.1797
12.5122,-2.74658,35.4004
14.6484,-4.88281,30.5176
12.5122,-3.66211,45.166
10.6812,-3.35693,32.959
11.5967,-4.88281,28.0762
11.2915,-2.74658,41.5039
9.76562,-4.27246,32.959
12.5122,-2.13623,39.0625
10.376,-3.66211,34.1797
12.8174,-3.35693,34.1797
12.5122,-3.05176,31.7383
10.9863,-3.35693,29.2969
10.376,-3.96729,29.2969
11.9019,-3.35693,26.8555
11.2915,-3.35693,36.6211
13.1226,-4.27246,37.8418
11.9019,-3.96729,37.8418
11.2915,-4.57764,30.5176
11.9019,-3.35693,29.2969
12.8174,-3.66211,32.959
10.9863,-3.66211,40.2832
14.9536,-5.18799,34.1797
11.2915,-3.05176,28.0762
13.4277,-4.27246,32.959
10.6812,-0.915527,34.1797
11.9019,-3.35693,39.0625
10.9863,-3.35693,35.4004
11.9019,-3.35693,37.8418
11.5967,-2.44141,32.959
11.9019,-3.96729,34.1797
13.7329,-3.66211,29.2969
13.1226,-4.27246,30.5176
12.8174,-2.74658,31.7383
12.5122,-3.66211,41.5039
13.4277,-4.57764,34.1797
10.6812,-3.66211,32.959
13.7329,-3.35693,41.5039
11.2915,-3.35693,35.4004
14.0381,-5.49316,32.959
12.5122,-4.57764,39.0625
13.1226,-3.35693,39.0625
11.2915,-3.05176,35.4004
11.2915,-4.27246,32.959
11.5967,-3.96729,36.6211
11.9019,-4.27246,30.5176
13.1226,-3.05176,31.7383
11.2915,-3.66211,37.8418
12.5122,-4.57764,37.8418
11.9019,-3.35693,39.0625
12.8174,-3.66211,31.7383
11.9019,-3.66211,42.7246
12.5122,-3.96729,34.1797
11.2915,-1.52588,30.5176
12.5122,-3.05176,37.8418
