Force in X axis (N),Force in Y axis (N),Force in Z axis (N)
-5.18799,-4.88281,39.0625
-6.71387,-7.01904,39.0625
-7.93457,-5.49316,34.1797
-4.57764,-5.79834,42.7246
-9.76562,-4.57764,43.9453
-6.10352,-5.18799,39.0625
-7.32422,-5.18799,43.9453
-6.40869,-6.10352,39.0625
-6.40869,-6.40869,35.4004
-5.79834,-5.49316,40.2832
-3.05176,-5.18799,46.3867
-6.10352,-5.79834,42.7246
-4.57764,-6.40869,37.8418
-5.18799,-3.66211,31.7383
-5.79834,-6.71387,42.7246
-5.49316,-4.88281,41.5039
-6.10352,-5.49316,50.0488
-7.01904,-5.18799,40.2832
-4.88281,-6.40869,35.4004
-6.40869,-4.88281,37.8418
-5.49316,-5.79834,41.5039
-3.96729,-6.10352,35.4004
-5.79834,-4.88281,47.6074
-7.01904,-5.79834,39.0625
-4.88281,-4.27246,32.959
-4.88281,-5.18799,34.1797
-6.40869,-5.18799,39.0625
-6.10352,-6.40869,43.9453
-5.49316,-5.79834,43.9453
-6.71387,-6.10352,42.7246
-5.18799,-6.40869,37.8418
-5.79834,-3.96729,37.8418
-6.40869,-5.49316,41.5039
-5.79834,-5.18799,39.0625
-5.79834,-5.79834,34.1797
-5.18799,-4.57764,42.7246
-6.40869,-6.10352,35.4004
-6.71387,-6.71387,41.5039
-5.49316,-5.49316,37.8418
-5.49316,-6.10352,37.8418
-7.01904,-4.57764,37.8418
-6.10352,-5.79834,47.6074
-4.88281,-5.79834,37.8418
-7.62939,-4.57764,40.2832
-6.40869,-6.40869,48.8281
-6.40869,-6.40869,40.2832
-4.88281,-4.88281,34.1797
-6.40869,-5.18799,40.2832
-5.18799,-5.49316,39.0625
-4.27246,-7.32422,41.5039
-5.79834,-3.96729,47.6074
-3.35693,-6.40869,47.6074
-5.49316,-5.79834,46.3867
-7.32422,-6.40869,42.7246
-7.62939,-5.18799,43.9453
-5.18799,-5.49316,40.2832
-6.40869,-6.40869,36.6211
-5.18799,-7.01904,47.6074
-6.40869,-6.10352,53.7109
-5.79834,-3.96729,43.9453
-7.62939,-4.57764,40.2832
-4.88281,-4.88281,40.2832
-5.18799,-7.32422,36.6211
-5.49316,-6.10352,42.7246
-6.10352,-6.40869,43.9453
-7.01904,-6.71387,42.7246
-6.40869,-5.18799,54.9316
-7.01904,-6.10352,52.4902
-6.10352,-5.18799,36.6211
-5.79834,-4.88281,36.6211
-6.40869,-5.49316,41.5039
-7.01904,-5.79834,37.8418
-5.79834,-5.79834,43.9453
-6.10352,-7.01904,45.166
-7.62939,-6.71387,43.9453
-5.79834,-5.79834,37.8418
-7.93457,-3.66211,37.8418
-4.57764,-5.18799,43.9453
-5.18799,-5.79834,40.2832
-5.79834,-5.18799,41.5039
-6.71387,-5.49316,42.7246
-5.79834,-5.18799,42.7246
-3.35693,-4.27246,36.6211
-5.18799,-5.49316,37.8418
-3.96729,-6.40869,37.8418
-5.79834,-5.79834,37.8418
-5.79834,-5.49316,43.9453
-7.62939,-5.18799,42.7246
-5.18799,-5.79834,43.9453
-5.79834,-7.32422,42.7246
-5.49316,-6.10352,42.7246
-7.01904,-5.18799,34.1797
-6.40869,-4.88281,42.7246
-5.79834,-5.18799,39.0625
-6.10352,-6.71387,45.166
-4.88281,-5.79834,46.3867
-6.10352,-7.32422,42.7246
-7.01904,-6.10352,39.0625
-5.79834,-7.32422,39.0625
-7.93457,-5.49316,35.4004
-3.66211,-8.8501,41.5039
-4.27246,-6.40869,34.1797
-6.10352,-5.18799,50.0488
-5.79834,-7.01904,40.2832
-5.79834,-4.27246,35.4004
-6.71387,-5.49316,45.166
-6.71387,-7.32422,41.5039
-5.18799,-5.18799,39.0625
-6.71387,-5.79834,40.2832
-5.79834,-5.49316,41.5039
-4.57764,-5.18799,43.9453
-6.40869,-3.96729,39.0625
-5.49316,-6.40869,45.166
-5.79834,-5.49316,36.6211
-7.01904,-7.93457,36.6211
-6.40869,-5.18799,39.0625
-7.93457,-6.10352,36.6211
-5.49316,-6.71387,37.8418
-5.49316,-6.10352,37.8418
-6.10352,-3.66211,37.8418
-4.88281,-6.40869,36.6211
-5.79834,-5.79834,47.6074
-6.10352,-5.49316,37.8418
-6.40869,-4.57764,43.9453
-5.79834,-8.54492,41.5039
-5.49316,-6.71387,37.8418
-4.57764,-5.79834,35.4004
-6.40869,-5.79834,35.4004
-4.88281,-5.79834,35.4004
-5.18799,-5.79834,39.0625
-6.40869,-4.88281,47.6074
-5.49316,-5.18799,40.2832
-6.40869,-6.10352,46.3867
-6.71387,-6.10352,39.0625
-4.27246,-5.18799,40.2832
-5.79834,-6.40869,32.959
-6.10352,-5.79834,32.959
-4.88281,-5.79834,40.2832
-6.10352,-4.88281,32.959
-6.71387,-4.57764,29.2969
-6.10352,-5.49316,37.8418
-6.40869,-5.79834,41.5039
-6.10352,-6.40869,37.8418
-3.96729,-6.40869,26.8555
-6.71387,-5.18799,39.0625
-6.40869,-5.49316,41.5039
-5.18799,-6.10352,30.5176
-6.40869,-6.10352,43.9453
-5.49316,-5.49316,50.0488
-6.71387,-4.57764,42.7246
-5.79834,-7.32422,40.2832
-5.49316,-6.71387,41.5039
-5.79834,-7.01904,37.8418
-5.18799,-6.40869,32.959
-5.49316,-5.18799,35.4004
-5.79834,-6.10352,39.0625
-6.10352,-6.40869,37.8418
-6.71387,-6.40869,42.7246
-6.10352,-2.74658,37.8418
-7.01904,-4.88281,40.2832
-4.88281,-7.01904,43.9453
-5.79834,-6.10352,34.1797
-6.10352,-5.18799,37.8418
-7.93457,-5.79834,40.2832
-5.18799,-7.01904,35.4004
-3.66211,-4.88281,34.1797
-5.18799,-6.40869,37.8418
-6.10352,-5.18799,37.8418
-6.10352,-5.18799,41.5039
-5.49316,-4.88281,45.166
-5.79834,-5.49316,39.0625
