Force in X axis (N),Force in Y axis (N),Force in Z axis (N)
-5.18799,-8.8501,47.6074
-5.79834,-6.10352,43.9453
-5.49316,-6.40869,37.8418
-5.49316,-6.10352,42.7246
-5.79834,-5.79834,47.6074
-7.62939,-5.18799,41.5039
-6.10352,-5.79834,42.7246
-3.35693,-10.0708,53.7109
-6.10352,-5.49316,48.8281
-5.79834,-6.10352,47.6074
-6.71387,-6.10352,47.6074
-5.18799,-5.49316,43.9453
-6.10352,-9.46045,61.0352
-6.10352,-5.18799,52.4902
-6.40869,-6.71387,46.3867
-4.27246,-10.9863,54.9316
-6.40869,-6.10352,52.4902
-9.46045,-3.96729,48.8281
-6.10352,-6.40869,57.373
-5.18799,-5.49316,47.6074
-3.96729,-10.9863,61.0352
-5.49316,-6.10352,50.0488
-6.71387,-5.18799,48.8281
-6.40869,-6.10352,48.8281
-5.79834,-6.40869,53.7109
-7.01904,-8.23975,65.918
-6.10352,-3.96729,50.0488
-2.44141,-6.71387,47.6074
-7.32422,-5.79834,52.4902
-5.79834,-7.01904,50.0488
-5.79834,-7.93457,47.6074
-2.13623,-7.32422,54.9316
-5.49316,-4.88281,50.0488
-7.01904,-5.79834,47.6074
-5.49316,-7.32422,50.0488
-4.27246,-7.93457,53.7109
-5.79834,-7.01904,46.3867
-7.01904,-6.40869,51.2695
-5.18799,-6.10352,47.6074
-5.18799,-7.01904,43.9453
-4.88281,-7.62939,37.8418
-5.18799,-5.18799,47.6074
-8.23975,-1.2207,43.9453
-6.40869,-5.79834,45.166
-6.10352,-5.18799,42.7246
-5.18799,-6.10352,43.9453
-5.49316,-6.71387,39.0625
-8.23975,-5.49316,47.6074
-6.40869,-4.88281,35.4004
-0.305176,-10.0708,47.6074
-6.40869,-4.88281,45.166
-6.40869,-5.18799,57.373
-5.79834,-6.71387,45.166
-6.71387,-5.79834,41.5039
-5.79834,-5.18799,45.166
-3.05176,-7.32422,46.3867
-5.79834,-5.49316,47.6074
-7.32422,-6.40869,50.0488
-4.88281,-5.79834,34.1797
-6.40869,-5.79834,46.3867
-5.49316,-7.62939,52.4902
-4.88281,-6.10352,47.6074
-8.23975,-3.35693,47.6074
-4.88281,-7.01904,48.8281
-7.01904,-4.57764,34.1797
-6.40869,-5.49316,52.4902
-4.88281,-6.10352,39.0625
-5.18799,-5.79834,43.9453
-6.10352,-6.10352,47.6074
-2.74658,-7.01904,48.8281
-7.01904,-6.40869,47.6074
-5.18799,-6.40869,51.2695
-5.18799,-6.40869,57.373
-9.15527,-2.74658,40.2832
-6.10352,-7.62939,35.4004
-5.49316,-7.01904,47.6074
-5.18799,-4.88281,41.5039
-8.54492,-6.10352,42.7246
-5.18799,-6.71387,42.7246
-5.79834,-7.01904,42.7246
-7.01904,-5.79834,45.166
-5.49316,-5.79834,43.9453
-7.32422,-4.57764,47.6074
-6.10352,-6.71387,40.2832
-5.49316,-5.18799,40.2832
-5.79834,-7.01904,47.6074
-4.88281,-6.10352,57.373
-7.01904,-7.01904,40.2832
-5.79834,-6.10352,42.7246
-6.10352,-7.01904,61.0352
-6.40869,-7.01904,47.6074
