Force in X axis (N),Force in Y axis (N),Force in Z axis (N)
-6.71387,-5.49316,40.2832
-6.10352,-6.71387,34.1797
-5.49316,-8.54492,43.9453
-6.10352,-7.01904,39.0625
-5.18799,-5.79834,37.8418
-5.79834,-6.71387,41.5039
-5.49316,-5.79834,46.3867
-5.79834,-7.32422,41.5039
-6.10352,-7.62939,37.8418
-5.49316,-7.93457,48.8281
-4.88281,-9.15527,37.8418
-6.10352,-7.01904,37.8418
-3.96729,-9.46045,41.5039
-4.27246,-6.71387,37.8418
-7.32422,-5.18799,42.7246
-6.10352,-6.71387,45.166
-4.88281,-6.40869,40.2832
-5.18799,-9.15527,50.0488
-5.49316,-6.10352,37.8418
-6.40869,-7.32422,51.2695
-5.18799,-6.71387,42.7246
-5.49316,-6.71387,39.0625
-6.40869,-6.71387,36.6211
-5.18799,-7.01904,39.0625
-6.40869,-7.01904,36.6211
-4.88281,-5.18799,41.5039
-3.66211,-6.10352,39.0625
-5.79834,-8.8501,50.0488
-7.01904,-5.18799,36.6211
-3.96729,-6.40869,43.9453
-6.10352,-6.10352,46.3867
-5.18799,-5.49316,52.4902
-5.49316,-7.01904,35.4004
-6.71387,-6.40869,41.5039
-5.49316,-7.01904,36.6211
-5.18799,-5.49316,35.4004
-5.79834,-6.40869,41.5039
-6.40869,-5.18799,35.4004
-5.49316,-6.40869,39.0625
-6.10352,-7.32422,32.959
-5.49316,-6.10352,39.0625
-7.62939,-4.27246,43.9453
-4.88281,-5.79834,46.3867
-5.18799,-7.01904,39.0625
-8.8501,-3.05176,43.9453
-6.71387,-6.10352,48.8281
-5.79834,-6.40869,41.5039
-4.88281,-6.40869,41.5039
-5.79834,-6.40869,41.5039
-5.49316,-7.01904,40.2832
-6.40869,-5.18799,37.8418
-5.79834,-4.27246,35.4004
-7.01904,-5.18799,42.7246
-5.18799,-4.57764,41.5039
-5.49316,-7.32422,39.0625
-4.57764,-6.40869,37.8418
-6.10352,-7.01904,42.7246
-5.18799,-7.32422,35.4004
-6.40869,-7.32422,50.0488
-3.96729,-7.01904,42.7246
-5.79834,-5.79834,50.0488
-6.40869,-5.49316,42.7246
-7.62939,-5.49316,45.166
-7.62939,-6.40869,36.6211
-5.49316,-5.18799,39.0625
-4.88281,-6.40869,39.0625
-6.71387,-5.79834,43.9453
-6.40869,-8.23975,51.2695
-5.79834,-6.40869,37.8418
-5.18799,-7.32422,47.6074
-4.57764,-6.10352,52.4902
-5.18799,-6.71387,47.6074
-5.49316,-6.71387,46.3867
-7.01904,-4.88281,47.6074
-5.49316,-6.10352,46.3867
-5.18799,-6.10352,36.6211
-5.79834,-4.57764,42.7246
-7.01904,-4.88281,36.6211
-5.79834,-5.79834,46.3867
-6.71387,-5.79834,45.166
-5.79834,-4.88281,52.4902
-4.27246,-5.49316,50.0488
-5.79834,-6.71387,47.6074
-5.18799,-6.40869,35.4004
-5.49316,-7.32422,36.6211
-7.32422,-6.10352,43.9453
-6.71387,-5.79834,51.2695
-3.66211,-5.49316,43.9453
-6.40869,-5.79834,52.4902
-6.10352,-4.88281,51.2695
-7.32422,-5.18799,41.5039
-6.71387,-4.27246,42.7246
-4.57764,-5.18799,42.7246
-5.18799,-5.79834,47.6074
-7.01904,-4.57764,42.7246
-5.79834,-4.57764,36.6211
-7.01904,-6.10352,48.8281
-5.18799,-6.71387,43.9453
-5.49316,-7.01904,34.1797
-7.32422,-3.96729,47.6074
-5.18799,-6.71387,50.0488
-6.10352,-7.01904,53.7109
-5.79834,-5.79834,46.3867
-6.10352,-4.88281,46.3867
-6.40869,-5.79834,35.4004
-5.18799,-5.18799,47.6074
-7.62939,-4.88281,39.0625
-7.32422,-8.23975,42.7246
-5.49316,-5.18799,43.9453
-7.32422,-6.10352,39.0625
-6.40869,-6.40869,39.0625
-6.40869,-6.71387,51.2695
-6.40869,-6.71387,45.166
-6.71387,-5.79834,40.2832
-6.40869,-6.10352,51.2695
-6.40869,-6.10352,46.3867
-5.18799,-6.10352,37.8418
-6.40869,-6.10352,40.2832
-5.49316,-6.71387,39.0625
-7.32422,-5.18799,40.2832
-5.79834,-6.10352,36.6211
-8.8501,-5.79834,40.2832
-5.79834,-6.10352,45.166
-4.88281,-8.54492,42.7246
-8.54492,-3.05176,46.3867
-6.40869,-6.71387,50.0488
-5.18799,-5.18799,37.8418
-5.79834,-5.79834,51.2695
-5.18799,-7.01904,41.5039
-5.79834,-7.62939,39.0625
-7.01904,-7.32422,51.2695
-6.40869,-5.18799,36.6211
-7.01904,-7.62939,37.8418
-7.01904,-7.62939,45.166
-6.71387,-7.62939,43.9453
-7.32422,-6.71387,46.3867
-7.32422,-5.79834,43.9453
-7.32422,-7.01904,42.7246
-6.71387,-6.40869,48.8281
-6.40869,-5.49316,40.2832
-5.18799,-3.35693,37.8418
-6.10352,-7.01904,45.166
-5.79834,-7.32422,41.5039
-5.79834,-5.49316,41.5039
-4.88281,-5.18799,42.7246
-7.01904,-7.01904,45.166
-5.18799,-7.62939,40.2832
-6.10352,-6.40869,45.166
-7.32422,-6.40869,45.166
-5.79834,-7.01904,47.6074
-5.49316,-8.23975,47.6074
-6.71387,-7.01904,39.0625
-5.79834,-7.01904,41.5039
-5.49316,-6.40869,45.166
-6.40869,-4.27246,21.9727
-5.49316,-7.01904,37.8418
-8.8501,-3.96729,45.166
-5.79834,-7.32422,41.5039
-6.40869,-8.54492,43.9453
-5.49316,-6.10352,57.373
-6.40869,-5.18799,43.9453
