Force in X axis (N),Force in Y axis (N),Force in Z axis (N)
-4.88281,-6.71387,40.2832
-6.40869,-6.71387,41.5039
-7.62939,-5.18799,37.8418
-6.10352,-5.49316,40.2832
-4.57764,-6.40869,47.6074
-6.71387,-6.40869,39.0625
-5.79834,-5.18799,43.9453
-7.01904,-6.10352,45.166
-7.01904,-5.18799,40.2832
-5.18799,-6.71387,37.8418
-5.18799,-5.18799,47.6074
-6.10352,-6.10352,48.8281
-4.88281,-5.49316,41.5039
-5.79834,-3.96729,34.1797
-7.01904,-4.88281,47.6074
-6.10352,-6.10352,37.8418
-5.79834,-6.40869,37.8418
-6.40869,-5.49316,28.0762
-5.79834,-4.88281,40.2832
-7.32422,-5.18799,42.7246
-5.79834,-7.62939,37.8418
-5.79834,-5.79834,43.9453
-6.40869,-4.27246,42.7246
-6.71387,-6.71387,37.8418
-5.49316,-4.57764,39.0625
-7.62939,-5.79834,47.6074
-6.40869,-6.71387,40.2832
-5.79834,-7.01904,40.2832
-4.27246,-10.0708,47.6074
-5.79834,-6.10352,37.8418
-5.79834,-5.18799,40.2832
-6.40869,-5.79834,40.2832
-6.40869,-5.79834,43.9453
-7.62939,-4.27246,37.8418
-7.01904,-6.10352,46.3867
-5.18799,-6.10352,37.8418
-5.18799,-6.10352,40.2832
-6.10352,-5.18799,40.2832
-7.32422,-5.18799,47.6074
-7.32422,-4.88281,46.3867
-7.01904,-6.40869,43.9453
-6.10352,-6.71387,47.6074
-3.35693,-6.10352,41.5039
-7.32422,-6.10352,46.3867
-3.96729,-7.01904,40.2832
-6.10352,-5.18799,41.5039
-5.79834,-6.40869,40.2832
-4.88281,-5.79834,40.2832
-4.57764,-5.79834,41.5039
-6.71387,-5.79834,37.8418
-6.40869,-6.10352,39.0625
-5.18799,-5.18799,35.4004
-5.49316,-5.18799,54.9316
-4.88281,-5.79834,40.2832
-4.88281,-6.71387,34.1797
-6.40869,-5.79834,47.6074
-5.18799,-5.79834,36.6211
-6.10352,-6.40869,39.0625
-5.79834,-5.49316,45.166
-6.40869,-6.71387,41.5039
-6.10352,-6.10352,35.4004
-4.57764,-6.71387,37.8418
-5.79834,-6.40869,45.166
-6.71387,-6.10352,41.5039
-5.79834,-6.71387,42.7246
-6.71387,-4.57764,47.6074
-3.66211,-6.40869,40.2832
