Force in X axis (N),Force in Y axis (N),Force in Z axis (N)
-4.27246,-5.18799,37.8418
-7.01904,-4.27246,37.8418
-4.88281,-6.40869,35.4004
-3.96729,-5.18799,36.6211
-4.57764,-5.18799,37.8418
-6.40869,-5.18799,31.7383
-5.79834,-5.49316,34.1797
-6.10352,-6.10352,40.2832
-6.40869,-5.49316,36.6211
-6.40869,-4.88281,34.1797
-3.96729,-6.10352,34.1797
-6.10352,-6.10352,30.5176
-6.71387,-6.10352,39.0625
-5.18799,-6.40869,42.7246
-5.18799,-5.49316,36.6211
-3.66211,-5.18799,34.1797
-5.49316,-5.49316,37.8418
-3.66211,-7.62939,42.7246
-5.49316,-6.40869,41.5039
-5.18799,-5.18799,37.8418
-5.79834,-6.40869,35.4004
-5.79834,-4.27246,39.0625
-5.79834,-7.32422,46.3867
-5.18799,-4.88281,36.6211
-6.10352,-4.27246,40.2832
-7.32422,-3.05176,40.2832
-7.32422,-3.96729,40.2832
-5.18799,-6.10352,45.166
-3.96729,-4.57764,42.7246
-4.88281,-5.79834,34.1797
-4.57764,-5.49316,31.7383
-3.96729,-5.18799,43.9453
-1.52588,5.18799,40.2832
5.49316,13.7329,54.9316
-0.610352,14.9536,59.8145
4.27246,20.4468,57.373
2.74658,18.0054,62.2559
1.52588,14.9536,57.373
0.305176,-4.88281,47.6074
-1.2207,-9.15527,40.2832
-3.35693,-9.46045,42.7246
-4.27246,-7.32422,47.6074
-4.57764,-6.10352,40.2832
-6.40869,-3.66211,39.0625
-5.79834,-6.10352,35.4004
-4.88281,-7.01904,39.0625
-6.40869,-5.18799,37.8418
-6.40869,-5.49316,36.6211
-6.71387,-6.10352,40.2832
-6.71387,-6.40869,42.7246
-5.79834,-5.79834,36.6211
-5.18799,-6.40869,39.0625
-3.96729,-4.57764,34.1797
-4.88281,-5.79834,39.0625
-5.49316,-5.18799,36.6211
-6.10352,-5.18799,41.5039
-3.96729,-6.10352,37.8418
-5.49316,-4.27246,41.5039
-6.40869,-4.88281,39.0625
-6.10352,-5.79834,40.2832
-4.88281,-5.18799,40.2832
-6.10352,-5.18799,37.8418
-5.18799,-5.49316,34.1797
-4.88281,-4.57764,35.4004
-6.40869,-4.88281,36.6211
-6.10352,-5.49316,37.8418
-5.79834,-5.79834,40.2832
