Vibration in  X (g),Vibration in Y (g),Vibration in Z (g)
-0.07237,0.217547,-0.50681
0.620161,0.425502,-0.658526
0.588553,0.257002,-0.431388
0.107901,-0.000654,0.28316
-0.233241,-0.241089,0.90659
-0.491769,-0.350734,0.535801
-0.567627,-0.216239,-0.298418
-0.09504,0.075204,-0.654384
0.655692,0.357928,-0.93144
0.974819,0.514439,-0.826808
0.536237,0.353786,0.211879
-0.237601,-0.072152,1.092093
-0.693839,-0.383432,0.889587
-0.896127,-0.464303,0.018964
-0.86016,-0.281416,-0.516619
-0.097002,0.263323,-0.526428
0.77907,0.710188,-0.789969
0.651768,0.560434,-0.709316
-0.132316,0.163269,0.554766
-0.524248,-0.089809,1.334926
-0.334385,-0.37929,0.571987
-0.187247,-0.583758,0.025286
-0.118365,-0.277928,-0.059509
0.512477,0.284467,-1.125881
1.183646,0.470843,-1.359558
0.910514,0.208173,0.318473
0.148228,-0.207738,1.125881
-0.450352,-0.546919,0.884138
-0.919669,-0.605774,0.443377
-0.873457,-0.430298,-0.497437
-0.144958,-0.197492,-0.156076
0.381034,0.085667,0.254168
0.225176,0.269645,-1.071385
-0.134713,0.236511,0.212533
-0.201416,0.071934,3.515625
-0.015041,-0.318473,2.437918
-0.144523,-0.585938,-1.240322
-0.35117,-0.091771,-3.530666
0.141253,0.419617,-2.998788
0.619071,-0.079564,2.627127
0.198364,-0.770351,6.196812
-0.499616,-0.421361,1.090132
-0.320653,0.680106,-3.431266
0.922939,1.120649,-2.535357
1.294163,0.120326,-2.599444
-0.190735,-0.943865,-2.519008
-0.904846,-0.182016,0.646101
0.29929,1.38528,1.064409
1.002938,1.040431,-1.06332
0.17068,-0.866263,0.934274
-0.974601,-1.592146,2.959115
-1.466806,-0.68076,-0.559126
-0.712585,0.408936,-3.756496
0.956508,0.942121,-1.020377
1.366969,0.569153,3.084237
-0.258745,-0.411333,1.476179
-1.105608,-0.279236,-2.250671
0.233895,1.491874,-0.794547
1.063102,2.084133,2.057757
-0.190517,-0.366865,1.878357
-1.567078,-2.545602,0.960868
-1.276507,-1.246425,-0.548662
0.248282,1.18648,-1.595197
1.349313,1.324463,-0.118147
0.88283,-0.519017,0.885446
-0.392805,-1.602827,-0.274004
-0.763593,-0.25286,-1.169695
0.093297,1.627459,-0.493731
0.769043,1.058088,0.562613
0.369045,-1.084682,0.601196
-0.207738,-1.4328,-0.012643
-0.043815,0.338527,-0.438363
0.304304,1.23291,-0.233459
0.104414,-0.10594,0.517055
-0.279236,-1.534598,0.793021
-0.35335,-1.053946,0.213405
-0.176784,0.40087,-0.481306
0.133841,0.871059,-0.477382
0.40632,0.208173,0.043379
0.45602,-0.344413,0.053624
0.304522,-0.204686,-0.317383
0.065613,0.202506,-0.125776
-0.213841,0.30692,0.379072
-0.488499,-0.039455,0.294713
-0.402614,-0.372314,-0.253296
0.18158,-0.131008,-0.442941
0.522069,0.451006,-0.275312
0.113569,0.50899,-0.150844
-0.384957,-0.087847,0.055586
-0.368173,-0.391715,0.309099
-0.221034,-0.080654,0.327192
-0.322832,0.056893,0.069536
-0.264631,-0.158909,-0.237601
0.219291,-0.118583,-0.134059
0.534276,0.166975,0.114659
0.262887,0.100054,-0.125776
-0.132969,-0.217329,-0.227574
-0.226266,-0.090899,0.15455
-0.166321,0.212533,0.252206
-0.133841,0.022888,0.030736
-0.052534,-0.168283,-0.171116
0.055804,0.059509,-0.101144
-0.010245,0.154768,0.241089
-0.134495,-0.025286,-0.005668
-0.05515,-0.051226,-0.434875
-0.012207,0.160653,0.047302
-0.164359,0.214277,0.320217
-0.10703,-0.127084,-0.138637
0.134495,-0.277056,-0.128174
0.07455,0.061907,0.10049
-0.128174,0.108119,0.020054
-0.072588,-0.205558,0.00218
0.048174,-0.157601,-0.057983
-0.017875,0.066485,-0.022234
-0.149754,0.090245,0.158473
-0.205776,0.109209,-0.070408
-0.126648,0.15019,-0.251334
0.12643,0.161961,-0.001962
0.38365,0.176784,-0.059727
0.30474,0.103542,-0.177874
-0.181798,-0.013733,0.242833
-0.594439,-0.139073,0.461687
-0.444903,-0.284903,0.079346
0.00327,-0.196184,-0.286647
0.231716,0.078038,-0.219073
0.259399,0.101362,0.064087
0.227792,-0.056022,0.061689
0.028556,-0.041199,-0.062779
-0.288827,0.073024,0.082615
-0.365121,0.090463,0.165885
-0.001962,0.10485,-0.080436
0.393677,0.197274,-0.330462
0.287083,0.144087,-0.130354
-0.087847,-0.112915,0.234113
-0.156294,-0.240435,0.143869
-0.108773,-0.156512,0.087847
-0.340925,-0.105068,0.312369
-0.404358,-0.134495,0.02921
0.095694,-0.087847,-0.470625
0.578962,0.134495,-0.345721
0.458418,0.322178,0.050572
0.002834,0.167629,0.092643
-0.246974,-0.115749,-0.069972
-0.214059,-0.178528,0.044904
-0.086321,-0.160653,0.418963
0.042507,-0.197274,0.35771
0.084795,-0.194005,-0.317819
0.037275,-0.114877,-0.416347
0.043597,0.057547,0.305176
0.131226,0.145612,0.241307
0.126648,-0.006321,-0.400216
-0.133623,-0.073896,-0.212751
-0.390843,0.072152,0.114877
-0.234331,0.070626,0.093515
0.057111,-0.083705,0.044033
0.124468,-0.105504,-0.214277
0.293405,0.037711,-0.065831
0.521633,0.184631,0.212315
0.236511,0.010027,-0.067139
-0.318473,-0.367737,0.105068
-0.423758,-0.281852,0.258092
-0.195095,0.14583,-0.435747
-0.053188,0.216021,-0.510297
0.153024,-0.010245,0.229318
0.378636,-0.109209,0.462123
0.158473,-0.019182,0.049918
-0.314113,0.087411,-0.440107
-0.357274,-0.000654,-0.112043
0.037057,-0.17504,0.764247
0.27662,-0.090245,0.390407
0.108555,0.157819,-0.670079
-0.109645,0.193787,-0.592695
0.008501,0.005232,0.168283
0.225394,-0.183323,0.462123
0.033569,-0.261361,0.129918
-0.37929,-0.132751,-0.202942
-0.368391,0.185503,-0.305394
0.117711,0.301252,-0.264413
0.453186,-0.010899,-0.031607
0.320871,-0.289917,0.051444
0.094169,-0.058637,0.030736
-0.032043,0.311279,-0.083923
-0.218201,0.123378,-0.084141
-0.311497,-0.353132,0.452968
-0.086321,-0.323704,0.449698
0.114223,0.079564,-0.294713
-0.052098,0.209699,-0.452314
-0.12534,0.025504,0.04425
0.157166,-0.125122,0.381688
0.240653,-0.098746,-0.021144
-0.006321,0.035095,-0.462777
-0.154332,0.193133,0.014823
-0.038365,0.236293,0.409589
0.136457,0.012425,-0.027248
0.079128,-0.27117,-0.391715
-0.041417,-0.200326,-0.030082
0.058637,0.118147,0.420925
0.038801,0.086757,0.05406
-0.313895,-0.319781,-0.306484
-0.469971,-0.304304,0.134713
-0.102452,0.239345,0.174822
0.258309,0.336129,-0.3285
0.149536,-0.089155,-0.229754
-0.010245,-0.089373,0.077602
0.088937,0.244577,-0.008501
0.031172,0.139073,-0.019836
-0.141907,-0.227574,0.212751
0.076948,-0.234113,0.410461
0.275094,0.018747,0.170898
-0.131662,-0.02267,-0.447954
-0.438363,-0.244795,-0.234113
-0.037493,-0.075858,0.616673
0.310189,0.205558,0.15346
0.033569,0.063215,-0.774711
-0.307574,-0.052316,-0.25504
-0.172642,0.237165,0.385393
0.1491,0.32741,-0.030736
0.160653,-0.0194,-0.340053
-0.015913,-0.123814,0.05624
-0.058419,0.112915,0.295367
-0.080436,0.011335,-0.015695
-0.173514,-0.373404,-0.071498
-0.102888,-0.32414,0.240653
0.067357,0.122506,0.093297
-0.055804,0.238473,-0.393677
-0.241089,-0.052752,-0.323486
0.056893,-0.095694,0.328936
0.409371,0.144741,0.427682
0.137983,0.062561,-0.327628
-0.273568,-0.183759,-0.4279
-0.131662,0.012861,0.389535
0.154768,0.250462,0.361197
-0.013079,-0.067357,-0.371007
-0.27226,-0.2982,-0.27553
-0.074114,0.116185,0.217329
0.215585,0.403486,0.15019
0.085231,0.005886,-0.270735
-0.045776,-0.349426,-0.270299
0.141471,-0.024414,0.214059
0.067357,0.323922,0.089373
-0.365775,-0.035531,-0.28098
-0.438363,-0.398254,0.247628
0.002616,-0.065395,0.464085
0.382778,0.215367,-0.292533
0.338745,-0.029646,-0.45711
0.107465,-0.109645,0.180054
-0.017439,0.159781,0.268773
-0.215803,0.100926,-0.214931
-0.471279,-0.274658,-0.162833
-0.277492,-0.214277,0.321306
0.199672,0.145612,0.362941
0.206212,0.051444,-0.242397
-0.046866,-0.237819,-0.657654
0.202942,0.005232,0.136893
0.565883,0.437273,0.468445
0.185067,0.153678,-0.60076
-0.531442,-0.429644,-0.332206
-0.586373,-0.165449,0.806318
-0.110953,0.366647,0.396946
0.044904,0.013733,-0.281416
-0.000436,-0.472804,-0.20207
0.363813,-0.072152,-0.057547
0.618417,0.432696,-0.236729
0.125122,0.057329,-0.430734
-0.420925,-0.437709,0.163923
-0.360979,-0.136675,0.683812
-0.206866,0.161961,0.059727
-0.301252,-0.155422,-0.325448
-0.124686,-0.236075,0.211443
0.421361,0.167411,0.197928
0.65373,0.24632,-0.645011
0.297328,-0.038365,-0.664193
-0.117493,-0.022452,0.488063
-0.160871,0.15673,0.869097
-0.134495,-0.135585,-0.00545
-0.267465,-0.53275,-0.30147
-0.122288,-0.192697,0.165231
0.255476,0.362069,0.077166
0.230408,0.104196,-0.32523
-0.011335,-0.365557,-0.236729
0.004142,-0.047302,0.093733
-0.088065,0.425502,0.133841
-0.449262,0.147574,-0.063433
-0.415039,-0.302124,0.099618
0.190517,-0.042507,0.243923
0.629752,0.398036,-0.493295
0.448608,0.169591,-0.751604
0.039891,-0.175912,0.266593
-0.145176,-0.040327,0.548009
-0.307356,-0.00327,0.012643
-0.618635,-0.181798,0.079564
