Force in X axis (N),Force in Y axis (N),Force in Z axis (N)
-3.35693,-5.18799,42.7246
-3.96729,-5.18799,39.0625
-3.35693,-4.57764,39.0625
-3.66211,-3.35693,34.1797
-3.96729,-4.88281,40.2832
-4.27246,-5.18799,41.5039
-3.66211,-7.62939,61.0352
-4.57764,-3.66211,42.7246
-7.01904,-1.83105,36.6211
-3.35693,-6.10352,53.7109
-3.96729,-4.27246,43.9453
-3.96729,-2.74658,29.2969
-4.88281,-3.66211,40.2832
-5.18799,-5.49316,37.8418
-5.18799,-4.27246,37.8418
-4.57764,-6.10352,42.7246
-2.74658,-4.27246,37.8418
-3.96729,-4.57764,43.9453
-8.23975,-2.74658,41.5039
-4.88281,-5.18799,45.166
-3.96729,-5.18799,45.166
-3.35693,-6.40869,40.2832
-9.15527,-1.83105,37.8418
1.2207,-8.54492,42.7246
-3.96729,-4.88281,46.3867
-3.35693,-4.27246,32.959
-3.05176,-6.40869,41.5039
-3.05176,-6.10352,42.7246
-3.96729,-5.49316,41.5039
-3.35693,-3.66211,46.3867
-2.74658,-4.88281,43.9453
-2.13623,-6.10352,41.5039
-3.66211,-5.49316,37.8418
-3.96729,-3.05176,37.8418
-3.66211,-4.57764,40.2832
-3.35693,-5.79834,42.7246
-3.96729,-5.18799,41.5039
-3.96729,-4.88281,37.8418
1.2207,-7.93457,41.5039
-3.96729,-6.10352,43.9453
-3.35693,-1.2207,28.0762
-4.88281,-4.57764,37.8418
-3.96729,-5.79834,41.5039
-4.27246,-5.18799,41.5039
-4.57764,-4.88281,39.0625
-3.35693,-6.10352,24.4141
-4.27246,-5.18799,45.166
-3.35693,-6.10352,42.7246
-4.57764,-1.52588,35.4004
-4.88281,-7.62939,50.0488
-3.05176,-4.88281,40.2832
-3.66211,-4.27246,40.2832
-3.66211,-5.18799,46.3867
-3.35693,-4.88281,40.2832
-2.44141,-5.18799,41.5039
-7.32422,-0.305176,43.9453
-2.74658,-4.57764,42.7246
-4.88281,-4.27246,43.9453
-3.35693,-5.18799,46.3867
-4.57764,-5.18799,43.9453
-6.10352,0.305176,40.2832
-5.49316,-4.88281,41.5039
-9.15527,-1.83105,37.8418
-4.27246,-8.8501,70.8008
-3.35693,-3.66211,41.5039
-6.40869,0.915527,29.2969
-4.27246,-3.35693,43.9453
-4.88281,-5.18799,42.7246
-7.01904,1.2207,32.959
-5.18799,-3.96729,45.166
