Force in X axis (N),Force in Y axis (N),Force in Z axis (N)
1.52588,-2.74658,37.8418
2.44141,-1.52588,26.8555
1.52588,1.2207,26.8555
-1.83105,2.13623,39.0625
0.305176,-0.915527,41.5039
2.13623,-2.13623,31.7383
-1.83105,-0.915527,28.0762
1.52588,-2.74658,35.4004
0.915527,-1.52588,35.4004
3.96729,-6.10352,41.5039
1.83105,-2.74658,37.8418
1.83105,-2.74658,30.5176
3.66211,-4.57764,41.5039
0.915527,-3.35693,29.2969
1.83105,-2.74658,35.4004
0.610352,-1.83105,40.2832
0.915527,-1.52588,29.2969
2.13623,-2.74658,26.8555
1.2207,-1.52588,28.0762
3.05176,-3.66211,31.7383
0.305176,-1.83105,23.1934
1.52588,-3.05176,45.166
0,-2.13623,37.8418
1.2207,-3.05176,19.5312
1.52588,-0.610352,46.3867
-0.915527,-2.13623,25.6348
-1.2207,-2.13623,29.2969
1.2207,-0.915527,39.0625
-0.915527,1.52588,28.0762
2.44141,-2.74658,29.2969
1.83105,-1.83105,41.5039
1.83105,-3.35693,29.2969
-0.305176,-2.13623,36.6211
0.610352,-2.74658,40.2832
-0.610352,-1.52588,29.2969
3.66211,-1.83105,24.4141
3.05176,-2.44141,43.9453
0.915527,-2.13623,35.4004
1.2207,-1.52588,25.6348
-0.305176,-1.2207,39.0625
2.13623,-2.13623,31.7383
3.96729,-3.96729,31.7383
-0.610352,-2.44141,42.7246
1.2207,-4.27246,46.3867
0.305176,0,21.9727
1.52588,-2.13623,40.2832
2.13623,-2.74658,32.959
1.2207,-2.44141,21.9727
1.2207,-1.83105,34.1797
1.2207,-2.44141,35.4004
1.2207,-1.2207,24.4141
0.610352,-6.10352,61.0352
0,-1.2207,31.7383
1.83105,-3.05176,20.752
-0.610352,-1.83105,37.8418
0.915527,-3.35693,29.2969
1.2207,-1.52588,28.0762
0.610352,-2.13623,35.4004
-0.305176,-1.52588,30.5176
0.610352,-1.83105,32.959
1.2207,-1.2207,34.1797
1.83105,-1.2207,35.4004
0.305176,-0.610352,30.5176
-0.915527,3.05176,25.6348
2.13623,-2.44141,34.1797
2.74658,-4.27246,29.2969
1.83105,-5.79834,46.3867
1.52588,-5.79834,50.0488
0.610352,-3.66211,29.2969
0.305176,-1.2207,37.8418
2.13623,-2.44141,30.5176
3.96729,-4.57764,32.959
0.305176,-1.52588,40.2832
1.83105,-1.83105,34.1797
2.13623,-2.44141,31.7383
0,-1.52588,41.5039
0.915527,-2.13623,25.6348
1.83105,-1.83105,32.959
1.83105,-2.13623,34.1797
0.610352,-1.83105,32.959
1.83105,-1.83105,36.6211
2.44141,-2.44141,29.2969
0.610352,-1.52588,31.7383
0.305176,-1.83105,42.7246
0.915527,-2.13623,34.1797
0.610352,-1.2207,36.6211
2.13623,-1.52588,40.2832
0,-1.83105,37.8418
1.2207,-1.83105,37.8418
2.13623,-1.2207,35.4004
1.83105,-2.13623,35.4004
2.13623,0.305176,13.4277
0.610352,-0.610352,36.6211
1.2207,-2.13623,26.8555
2.13623,-1.83105,42.7246
0.610352,-1.2207,37.8418
1.83105,-0.305176,28.0762
0.915527,-1.52588,34.1797
2.44141,-2.74658,31.7383
0.305176,-2.44141,28.0762
0.610352,-2.44141,37.8418
-1.83105,3.05176,26.8555
0.305176,-1.2207,30.5176
2.13623,-2.13623,34.1797
-0.305176,-0.915527,31.7383
2.13623,-3.96729,34.1797
-0.915527,-0.305176,40.2832
0.305176,-1.52588,34.1797
1.52588,-2.13623,24.4141
1.83105,-3.05176,39.0625
0.915527,-1.83105,36.6211
2.44141,-4.27246,31.7383
0.305176,-1.2207,35.4004
2.44141,-0.915527,31.7383
2.13623,-2.13623,24.4141
0.610352,-1.2207,29.2969
1.83105,-1.2207,40.2832
0.610352,-2.44141,39.0625
2.13623,-2.13623,34.1797
5.79834,-4.27246,39.0625
0.305176,-2.44141,32.959
3.05176,0,37.8418
0.610352,-2.74658,39.0625
2.44141,-1.83105,40.2832
0,-1.52588,37.8418
1.2207,-2.44141,39.0625
0,-1.52588,41.5039
0.915527,-2.44141,35.4004
3.66211,-4.88281,41.5039
1.52588,-1.83105,32.959
1.2207,-0.915527,31.7383
0,-1.52588,37.8418
0.915527,-2.74658,39.0625
1.83105,-1.52588,28.0762
-2.74658,0,34.1797
0.610352,-1.83105,32.959
1.52588,-1.52588,39.0625
0,-2.44141,31.7383
1.83105,-1.52588,29.2969
0.305176,-1.52588,35.4004
1.2207,-1.2207,34.1797
1.83105,-2.13623,30.5176
1.52588,-1.83105,39.0625
2.44141,-1.2207,32.959
0.610352,-2.44141,25.6348
3.35693,-3.05176,36.6211
0.915527,-2.13623,31.7383
1.52588,-2.74658,29.2969
2.44141,-1.2207,35.4004
2.13623,-3.05176,26.8555
1.83105,-2.13623,34.1797
0,-1.2207,37.8418
0.305176,-1.2207,29.2969
0.915527,-2.44141,25.6348
2.13623,-1.52588,36.6211
1.2207,-1.83105,37.8418
0.915527,-3.35693,29.2969
2.13623,-1.83105,37.8418
0.915527,-2.44141,30.5176
2.44141,-2.13623,32.959
1.52588,-1.83105,39.0625
