Force in X axis (N),Force in Y axis (N),Force in Z axis (N)
-3.66211,-2.44141,45.166
-2.74658,-3.05176,39.0625
-2.44141,-3.66211,47.6074
-2.44141,-2.74658,47.6074
-1.2207,-3.96729,28.0762
-2.13623,-3.96729,39.0625
-3.96729,-3.05176,37.8418
-1.52588,-3.66211,51.2695
-2.13623,-4.57764,39.0625
-1.83105,-3.66211,40.2832
-3.35693,-3.66211,42.7246
-3.66211,-4.27246,31.7383
0,-6.10352,41.5039
-2.74658,-4.57764,42.7246
-2.13623,-3.35693,39.0625
-2.74658,-4.27246,39.0625
-1.52588,-3.96729,32.959
-3.35693,-3.35693,43.9453
0.305176,-4.88281,42.7246
-1.83105,-3.96729,42.7246
0,-9.76562,53.7109
-0.915527,-4.27246,39.0625
3.96729,-7.62939,40.2832
-3.66211,-3.66211,36.6211
-1.52588,-3.66211,37.8418
-1.83105,-2.44141,41.5039
-2.74658,-1.52588,32.959
-2.13623,-3.66211,41.5039
-3.96729,-3.05176,51.2695
-5.49316,0.305176,37.8418
-3.96729,-2.74658,48.8281
-3.66211,-3.96729,42.7246
-1.2207,-4.88281,46.3867
-2.74658,-3.66211,41.5039
-1.2207,-3.96729,39.0625
-0.915527,-4.57764,57.373
-2.74658,-3.66211,36.6211
-0.305176,-6.10352,37.8418
-2.74658,-3.66211,45.166
-0.610352,-4.27246,43.9453
-1.2207,-4.27246,40.2832
-2.74658,-3.96729,35.4004
-3.05176,-3.66211,45.166
-1.83105,-3.96729,40.2832
-2.13623,-5.18799,31.7383
-1.83105,-3.96729,41.5039
-2.74658,-4.27246,45.166
-1.52588,-2.74658,39.0625
-2.13623,-3.96729,40.2832
-2.13623,-7.93457,67.1387
-3.35693,-3.66211,43.9453
-2.13623,-4.27246,41.5039
-2.74658,-3.05176,52.4902
-1.52588,-4.57764,51.2695
-1.52588,-6.40869,45.166
-0.915527,-4.27246,26.8555
-2.13623,-3.96729,36.6211
-3.96729,-5.79834,61.0352
-1.83105,-2.74658,43.9453
-3.05176,-4.57764,43.9453
-1.83105,-4.88281,46.3867
-2.13623,-4.27246,52.4902
-3.35693,-2.13623,32.959
-1.83105,-3.05176,48.8281
-5.79834,-2.74658,40.2832
-2.13623,-3.35693,41.5039
-3.35693,-2.13623,39.0625
-1.52588,-5.18799,39.0625
-3.05176,-1.52588,32.959
-4.57764,-4.88281,48.8281
-1.52588,-4.57764,35.4004
-2.13623,-3.66211,46.3867
-2.74658,-4.57764,37.8418
-2.74658,-3.66211,42.7246
-2.74658,-3.35693,40.2832
-2.44141,-3.66211,43.9453
-2.74658,-3.05176,42.7246
-6.10352,-1.83105,35.4004
-2.13623,-3.96729,41.5039
-6.10352,-0.915527,30.5176
-2.74658,-3.66211,46.3867
-1.83105,-3.96729,43.9453
-2.74658,-4.27246,47.6074
-3.05176,-4.57764,37.8418
-1.52588,-4.57764,46.3867
-1.83105,-3.96729,40.2832
0.915527,-4.27246,43.9453
-2.44141,-3.96729,43.9453
-2.74658,-3.05176,39.0625
-1.83105,-4.57764,36.6211
-2.13623,-3.35693,37.8418
-4.57764,1.52588,35.4004
-2.44141,-4.27246,36.6211
-2.74658,-3.35693,36.6211
0,-6.40869,47.6074
-6.10352,-2.44141,42.7246
-2.44141,-2.13623,46.3867
-1.52588,-1.52588,28.0762
-2.74658,-3.66211,37.8418
-7.01904,-1.2207,37.8418
-1.2207,-4.27246,31.7383
-2.13623,-3.96729,43.9453
-2.74658,-3.96729,36.6211
-1.83105,-6.71387,67.1387
0,-8.23975,51.2695
-1.52588,-4.88281,43.9453
-2.44141,-4.88281,42.7246
-2.74658,-3.66211,30.5176
-2.74658,-3.35693,39.0625
-4.57764,-2.74658,37.8418
-1.83105,-3.96729,40.2832
-1.83105,-5.49316,37.8418
-3.35693,-3.66211,43.9453
-2.44141,-3.05176,45.166
-3.35693,-2.13623,42.7246
-3.05176,-3.66211,39.0625
-2.44141,-3.96729,42.7246
-3.35693,-4.27246,40.2832
-2.74658,-4.27246,32.959
-1.2207,-4.27246,46.3867
-2.13623,-5.18799,35.4004
-3.96729,1.2207,32.959
-3.35693,-3.96729,40.2832
-0.915527,-0.915527,39.0625
-1.83105,-3.05176,41.5039
-2.74658,-3.35693,45.166
-5.79834,-0.915527,42.7246
-3.35693,-2.74658,46.3867
-2.44141,-3.35693,42.7246
-1.2207,-3.66211,41.5039
-4.27246,-4.57764,46.3867
-3.05176,-3.35693,39.0625
-2.44141,-3.35693,40.2832
-2.13623,-5.79834,47.6074
-3.35693,-2.74658,41.5039
-2.74658,-2.44141,40.2832
-2.44141,-3.66211,30.5176
2.13623,-5.18799,43.9453
-0.915527,-6.10352,59.8145
-0.610352,-0.305176,21.9727
-2.13623,-2.44141,34.1797
-3.05176,-3.66211,40.2832
-1.2207,-3.66211,42.7246
-3.05176,-3.05176,46.3867
-0.610352,-3.35693,34.1797
6.10352,-6.40869,36.6211
0.610352,-7.62939,57.373
-0.305176,-3.35693,43.9453
-0.915527,-4.57764,41.5039
-0.915527,-3.96729,37.8418
-1.52588,-2.13623,46.3867
2.13623,-6.10352,46.3867
-3.05176,-3.35693,42.7246
-1.52588,-3.66211,45.166
-1.83105,-3.35693,42.7246
-0.305176,-3.66211,47.6074
-1.52588,-4.27246,47.6074
-1.52588,-2.74658,41.5039
-1.52588,-3.66211,42.7246
-2.74658,-3.96729,34.1797
0.610352,-4.27246,40.2832
-3.35693,-4.57764,31.7383
-2.13623,-4.27246,39.0625
-0.915527,-3.35693,34.1797
-1.52588,-4.57764,37.8418
-1.52588,-2.44141,35.4004
-2.44141,-3.96729,47.6074
-1.2207,-5.18799,37.8418
-6.40869,0.305176,36.6211
-0.915527,-4.57764,42.7246
-0.610352,-3.96729,43.9453
-1.2207,-4.88281,37.8418
-3.66211,-3.96729,42.7246
-2.13623,-2.74658,41.5039
-0.305176,-8.54492,54.9316
0.915527,-7.01904,45.166
-1.2207,-5.18799,43.9453
-1.83105,-3.96729,39.0625
-3.66211,-3.66211,41.5039
-3.05176,-6.10352,42.7246
-3.05176,-4.27246,37.8418
-3.66211,-6.10352,52.4902
0,-8.23975,51.2695
-2.13623,-2.74658,43.9453
-2.74658,-5.18799,46.3867
-2.74658,-2.74658,48.8281
-3.05176,-2.44141,45.166
-0.915527,-6.40869,42.7246
-1.83105,-5.49316,61.0352
-2.13623,-3.05176,47.6074
-2.44141,-3.35693,42.7246
-0.915527,-4.88281,40.2832
-1.83105,-4.57764,39.0625
-1.83105,-1.2207,37.8418
-2.13623,-4.27246,43.9453
