Force in X axis (N),Force in Y axis (N),Force in Z axis (N)
-7.32422,-5.18799,42.7246
-4.57764,-3.96729,28.0762
-4.27246,-4.57764,43.9453
-8.8501,-4.88281,45.166
-5.18799,-4.57764,50.0488
-5.18799,-4.88281,54.9316
-4.57764,-5.79834,46.3867
-6.71387,-2.13623,36.6211
-7.32422,-3.96729,52.4902
-6.10352,-5.49316,45.166
-5.79834,-4.88281,39.0625
-5.18799,-7.32422,42.7246
-6.40869,-5.49316,39.0625
-5.79834,-3.96729,42.7246
-5.79834,-4.57764,52.4902
-4.57764,-5.49316,48.8281
-5.79834,-5.18799,43.9453
-6.40869,-5.79834,37.8418
-4.88281,-6.40869,46.3867
-3.96729,-4.88281,41.5039
-5.49316,-8.8501,61.0352
-6.40869,-5.49316,50.0488
-5.18799,-3.96729,50.0488
-5.79834,-5.49316,43.9453
-3.66211,-8.54492,48.8281
-4.27246,-5.79834,45.166
-2.44141,-8.8501,52.4902
-4.88281,-4.88281,40.2832
-8.54492,-0.305176,37.8418
-5.79834,-5.79834,43.9453
-3.66211,-5.79834,41.5039
-5.79834,-5.18799,43.9453
-3.66211,-7.93457,57.373
-5.49316,-5.18799,37.8418
-7.32422,-5.79834,50.0488
-6.10352,-4.57764,41.5039
-5.79834,-4.88281,41.5039
-4.88281,-6.10352,37.8418
-4.88281,-4.57764,43.9453
-5.18799,-5.79834,37.8418
-5.49316,-4.88281,36.6211
-4.57764,-4.88281,45.166
-6.71387,-4.88281,50.0488
-5.79834,-4.57764,42.7246
-6.40869,-4.88281,50.0488
-5.18799,-2.74658,19.5312
-3.66211,-7.32422,43.9453
-6.40869,-5.49316,48.8281
-4.57764,-4.27246,37.8418
-4.88281,-2.74658,25.6348
-6.10352,-7.01904,41.5039
-4.88281,-4.88281,43.9453
-6.71387,-4.88281,41.5039
-6.40869,-6.40869,43.9453
-7.93457,-4.27246,35.4004
-7.32422,-5.79834,30.5176
-7.32422,-5.79834,41.5039
-5.18799,-5.79834,41.5039
-6.71387,-6.71387,39.0625
-5.18799,-5.79834,42.7246
-6.40869,-6.10352,50.0488
-5.79834,-6.71387,41.5039
-5.79834,-6.40869,46.3867
-6.71387,-5.79834,42.7246
-7.01904,-5.49316,40.2832
-5.18799,-6.40869,37.8418
-5.18799,-6.10352,31.7383
-5.18799,-6.10352,37.8418
-5.18799,-4.57764,36.6211
-6.10352,-4.27246,34.1797
-5.18799,-6.10352,41.5039
-5.18799,-6.10352,46.3867
-5.79834,-6.71387,46.3867
-7.62939,-6.40869,45.166
-4.88281,-5.79834,40.2832
-5.18799,-4.57764,48.8281
-5.79834,-7.62939,40.2832
-7.62939,-3.96729,34.1797
-5.18799,-5.79834,37.8418
-5.49316,-6.40869,40.2832
-6.71387,-4.57764,47.6074
-5.79834,-6.10352,51.2695
-8.8501,-4.88281,43.9453
-6.10352,-3.96729,46.3867
-6.10352,-5.18799,41.5039
-5.79834,-5.79834,41.5039
-5.18799,-5.18799,39.0625
-5.49316,-6.71387,41.5039
-5.18799,-5.18799,48.8281
-5.18799,-4.57764,41.5039
-6.40869,-4.27246,37.8418
-5.18799,-5.49316,47.6074
-6.40869,-4.27246,42.7246
-4.57764,-7.32422,34.1797
-9.46045,-4.57764,23.1934
-7.01904,-4.27246,41.5039
-4.88281,-4.88281,48.8281
-7.01904,-4.88281,37.8418
-3.05176,-10.0708,57.373
-6.71387,-5.18799,45.166
-6.40869,-5.79834,41.5039
-5.18799,-10.0708,58.5938
-9.15527,-0.305176,31.7383
-5.79834,-3.96729,30.5176
-4.88281,-6.40869,39.0625
-4.88281,-6.40869,48.8281
-3.05176,-6.71387,39.0625
-5.49316,-5.79834,40.2832
-4.57764,-6.71387,42.7246
-5.49316,-4.57764,37.8418
-4.88281,-5.18799,34.1797
-6.71387,-4.57764,40.2832
-4.57764,-5.49316,37.8418
0.305176,-9.15527,43.9453
-5.79834,-5.79834,41.5039
-6.71387,-3.96729,50.0488
-4.57764,-5.79834,37.8418
-4.57764,-4.27246,35.4004
-3.96729,-5.79834,42.7246
-4.57764,-4.57764,53.7109
-3.05176,-5.49316,41.5039
-3.96729,-6.40869,57.373
-3.96729,-4.27246,48.8281
-4.27246,-4.57764,43.9453
-7.01904,-4.88281,51.2695
