Force in X axis (N),Force in Y axis (N),Force in Z axis (N)
-5.79834,-4.88281,42.7246
-4.57764,-4.27246,48.8281
-4.88281,-7.62939,45.166
-3.35693,-5.18799,42.7246
-8.23975,-1.83105,29.2969
-5.18799,-3.96729,37.8418
-5.18799,-8.23975,58.5938
-7.62939,-1.52588,37.8418
-4.88281,-4.57764,37.8418
-4.57764,-5.18799,43.9453
-5.79834,-1.2207,31.7383
-5.49316,-4.57764,42.7246
-5.18799,-4.57764,39.0625
-4.88281,-5.49316,41.5039
-6.10352,-5.18799,39.0625
-2.44141,-7.01904,50.0488
-5.79834,-5.18799,37.8418
-4.88281,-6.10352,41.5039
-2.74658,-6.40869,41.5039
-5.79834,-5.18799,41.5039
-4.27246,-4.88281,39.0625
-4.27246,-5.49316,46.3867
-3.66211,-2.44141,21.9727
-4.88281,-5.18799,41.5039
-2.13623,-7.62939,47.6074
-4.88281,-4.88281,43.9453
-5.18799,-5.49316,41.5039
-4.88281,-5.18799,40.2832
-4.27246,-5.79834,40.2832
-4.57764,-4.88281,53.7109
-3.66211,-4.88281,40.2832
-5.18799,-5.18799,37.8418
-3.66211,-5.79834,42.7246
-4.57764,-5.79834,47.6074
-5.18799,-5.18799,40.2832
-5.49316,-5.49316,39.0625
-6.10352,-5.18799,37.8418
-8.23975,-1.2207,36.6211
-5.18799,-4.57764,45.166
-6.40869,-4.57764,37.8418
-5.49316,-3.96729,45.166
-4.88281,-7.01904,43.9453
-3.96729,-5.49316,35.4004
-5.18799,-4.57764,47.6074
-5.49316,-6.10352,47.6074
-3.66211,-6.10352,36.6211
-3.96729,-5.49316,37.8418
-3.35693,-2.74658,35.4004
-3.96729,-6.10352,39.0625
-6.10352,-3.96729,42.7246
-5.18799,-3.66211,40.2832
-4.88281,-5.49316,37.8418
-4.57764,-3.96729,40.2832
-4.88281,-0.915527,26.8555
-5.18799,-4.88281,37.8418
-4.57764,-5.49316,46.3867
-4.27246,-4.88281,36.6211
-5.18799,-2.74658,46.3867
-5.18799,-5.18799,42.7246
-8.8501,-2.44141,32.959
-3.66211,-5.18799,37.8418
-5.18799,-5.49316,31.7383
-5.49316,-4.27246,47.6074
-4.27246,-6.10352,39.0625
-2.74658,-7.01904,47.6074
-3.96729,-8.8501,52.4902
-5.18799,-5.18799,41.5039
-4.88281,-6.71387,52.4902
-4.88281,-5.49316,43.9453
-4.27246,-4.88281,30.5176
-6.40869,-3.96729,34.1797
