Force in X axis (N),Force in Y axis (N),Force in Z axis (N)
14.7858,10.726925,28.99172
15.365585,12.17653,32.470715
15.365585,11.306805,28.99172
14.20592,11.306805,30.151385
14.7858,11.306805,31.31105
15.365585,12.17653,31.31105
19.13452,8.6975065,30.151385
15.365585,11.88659,27.832055
15.075645,9.277339,47.54636
14.7858,11.59665,27.832055
16.23531,10.726925,30.151385
12.46647,13.626135,33.63038
15.075645,11.306805,30.151385
15.945465,11.306805,34.790045
14.7858,13.046255,35.94971
15.365585,11.306805,26.67239
15.365585,11.88659,31.31105
14.49586,11.59665,35.94971
15.365585,11.88659,25.512725
16.52525,11.88659,31.31105
15.655525,12.46647,31.31105
11.59665,14.20592,20.874065
15.365585,12.756315,31.31105
15.655525,11.306805,32.470715
15.365585,11.88659,27.832055
15.365585,11.59665,31.31105
16.23531,11.88659,26.67239
14.20592,11.88659,27.832055
15.365585,12.17653,24.35306
16.23531,11.306805,31.31105
15.655525,12.17653,30.151385
17.10513,11.306805,33.63038
13.626135,13.046255,27.832055
15.945465,10.726925,34.790045
14.7858,11.88659,32.470715
14.49586,12.46647,31.31105
15.365585,10.726925,30.151385
14.7858,11.016865,33.63038
14.7858,8.6975065,46.386695
19.13452,10.14714,27.832055
16.81519,11.016865,28.99172
15.365585,12.756315,30.151385
16.81519,10.436985,27.832055
15.075645,12.17653,33.63038
15.945465,8.9874275,45.22703
15.075645,8.9874275,45.22703
15.655525,12.756315,30.151385
17.684915,11.306805,26.67239
14.49586,11.306805,32.470715
14.7858,11.59665,32.470715
15.945465,11.88659,40.58837
14.7858,16.23531,19.7144
16.23531,11.016865,19.7144
16.52525,11.88659,34.790045
13.91598,11.88659,34.790045
15.655525,11.306805,32.470715
14.49586,12.46647,24.35306
15.945465,9.8572,45.22703
17.10513,11.306805,24.35306
15.075645,11.59665,20.874065
16.23531,11.88659,35.94971
15.365585,12.756315,30.151385
14.7858,10.726925,31.31105
16.23531,11.306805,31.31105
15.075645,11.59665,28.99172
15.945465,11.88659,31.31105
13.626135,13.336195,28.99172
17.394975,13.336195,27.832055
16.23531,11.59665,33.63038
15.075645,11.59665,32.470715
15.945465,11.88659,35.94971
14.49586,11.016865,32.470715
15.365585,11.59665,31.31105
12.46647,14.20592,26.67239
