Force in X axis (N),Force in Y axis (N),Force in Z axis (N)
-5.49316,-5.18799,50.0488
-5.18799,-6.10352,37.8418
-4.57764,-5.79834,42.7246
-5.49316,-5.18799,39.0625
-2.74658,-11.2915,54.9316
-5.18799,-5.79834,46.3867
-4.57764,-7.93457,63.4766
-5.79834,-5.79834,47.6074
-5.18799,-5.79834,35.4004
-0.305176,-7.62939,43.9453
-4.27246,-6.10352,39.0625
-4.27246,-6.10352,47.6074
-4.88281,-4.88281,39.0625
-5.18799,-5.49316,45.166
-5.18799,-5.18799,41.5039
-6.10352,-6.40869,57.373
-9.15527,-2.13623,30.5176
-3.96729,-5.79834,45.166
-4.88281,-6.10352,41.5039
-4.27246,-7.01904,41.5039
-4.27246,-6.10352,35.4004
-7.62939,1.2207,37.8418
-5.79834,-4.27246,47.6074
-3.96729,-5.79834,35.4004
-6.40869,-5.18799,35.4004
-4.88281,-6.10352,45.166
-4.88281,-6.40869,42.7246
-5.79834,-5.49316,46.3867
-5.49316,-6.71387,42.7246
-3.96729,-10.376,52.4902
-5.18799,-5.18799,41.5039
-5.79834,-5.18799,41.5039
-4.27246,-5.49316,43.9453
-5.18799,-4.57764,39.0625
-4.27246,-5.79834,42.7246
-4.88281,-4.27246,45.166
-5.79834,-4.88281,45.166
-5.49316,-6.10352,42.7246
-6.40869,-4.57764,41.5039
-5.18799,-6.10352,47.6074
-9.76562,-2.13623,42.7246
-4.27246,-5.18799,41.5039
-3.96729,-5.49316,48.8281
-5.79834,-5.18799,45.166
-5.79834,-5.18799,50.0488
-3.66211,-5.18799,37.8418
-8.8501,-3.66211,37.8418
-4.88281,-5.18799,37.8418
-5.79834,-5.18799,51.2695
-6.40869,-5.18799,39.0625
-5.49316,-5.18799,37.8418
-4.57764,-5.79834,45.166
-0.305176,-7.93457,46.3867
-5.18799,-5.49316,39.0625
-1.52588,-10.9863,51.2695
-4.88281,-6.40869,41.5039
-3.05176,-4.27246,36.6211
-3.66211,-5.49316,48.8281
-6.40869,-4.88281,40.2832
-6.40869,-5.79834,42.7246
-5.18799,-6.71387,48.8281
-5.18799,-6.10352,36.6211
-5.18799,-6.71387,41.5039
-9.15527,-3.05176,37.8418
-3.96729,-6.10352,46.3867
-5.18799,-4.88281,43.9453
-4.57764,-5.79834,42.7246
-4.88281,-5.18799,36.6211
-3.35693,-7.62939,39.0625
-4.88281,-4.88281,37.8418
-5.79834,-5.49316,41.5039
-5.18799,-6.40869,37.8418
-4.88281,-6.10352,37.8418
-5.79834,-5.18799,47.6074
-3.96729,-6.10352,39.0625
-5.18799,-6.40869,45.166
-5.18799,-5.18799,36.6211
-5.18799,-6.40869,51.2695
-5.18799,-2.74658,32.959
-4.88281,-5.49316,30.5176
-4.57764,-8.54492,62.2559
-4.57764,-4.88281,45.166
-5.79834,-6.10352,32.959
-9.46045,-2.44141,32.959
-5.18799,-5.79834,36.6211
-4.27246,-5.49316,31.7383
-5.49316,-7.93457,63.4766
-6.71387,-4.57764,42.7246
-4.88281,-6.40869,40.2832
-2.74658,-7.62939,35.4004
-4.57764,-5.79834,43.9453
-10.376,-1.52588,32.959
-6.40869,-5.79834,46.3867
-4.57764,-4.27246,32.959
-4.57764,-5.18799,43.9453
-5.79834,-8.54492,63.4766
-4.27246,-5.79834,41.5039
-3.96729,-3.96729,50.0488
-5.79834,-3.66211,42.7246
-4.27246,-3.96729,43.9453
-4.88281,-3.96729,39.0625
-4.57764,-5.18799,45.166
-5.49316,-4.57764,46.3867
-3.66211,-6.10352,47.6074
-4.27246,-5.79834,40.2832
-1.52588,-5.79834,41.5039
-4.27246,-4.57764,47.6074
-5.18799,-4.57764,36.6211
-5.18799,-3.96729,47.6074
-3.96729,-4.88281,45.166
-4.88281,-6.10352,47.6074
-5.79834,-3.66211,39.0625
-4.27246,-4.88281,46.3867
-4.88281,-5.18799,45.166
-1.52588,-10.9863,53.7109
-5.79834,-6.40869,41.5039
-4.88281,-5.49316,41.5039
-4.57764,-6.40869,50.0488
-4.88281,-6.10352,42.7246
-4.27246,-2.44141,24.4141
-3.35693,-5.79834,46.3867
-4.27246,-3.96729,34.1797
-4.27246,-2.44141,37.8418
-3.66211,-5.79834,41.5039
-5.18799,-5.49316,41.5039
-6.10352,-5.18799,41.5039
-3.35693,-6.40869,35.4004
-1.83105,-8.23975,37.8418
-4.88281,-4.27246,43.9453
-3.35693,-6.10352,37.8418
-4.27246,-4.88281,50.0488
-4.27246,-6.71387,42.7246
-4.88281,-10.6812,53.7109
-3.35693,-5.49316,42.7246
-4.88281,-5.18799,39.0625
-4.88281,-4.27246,41.5039
-4.88281,-4.57764,40.2832
-5.49316,-5.79834,45.166
-5.49316,-6.10352,37.8418
-3.96729,-5.79834,51.2695
-4.57764,-5.79834,46.3867
-2.13623,-6.71387,39.0625
-5.18799,-4.57764,48.8281
-5.79834,-5.18799,39.0625
-4.57764,-5.79834,40.2832
-4.27246,-4.88281,42.7246
-4.88281,-4.27246,36.6211
-4.57764,-6.71387,46.3867
-5.79834,-5.49316,40.2832
-3.05176,-4.27246,37.8418
-3.05176,-8.8501,40.2832
-4.27246,-5.49316,34.1797
-5.49316,-4.88281,50.0488
-4.88281,-5.79834,43.9453
-8.54492,-1.2207,46.3867
-4.88281,-4.88281,42.7246
-7.01904,-5.18799,42.7246
-5.18799,-3.96729,41.5039
-5.49316,-8.8501,61.0352
-4.88281,-1.83105,24.4141
-5.18799,-5.49316,40.2832
-5.79834,-4.88281,46.3867
-5.18799,-6.10352,40.2832
-5.18799,-4.27246,41.5039
-7.62939,-3.96729,39.0625
-3.96729,-6.40869,43.9453
-6.40869,-5.18799,43.9453
-3.96729,-5.79834,36.6211
-5.18799,-4.27246,42.7246
-5.18799,-5.79834,42.7246
-5.18799,-4.57764,40.2832
-5.18799,-5.18799,45.166
-5.49316,-6.10352,43.9453
-3.96729,-5.49316,37.8418
-5.49316,-5.79834,45.166
-4.57764,-6.40869,37.8418
-9.46045,-5.18799,41.5039
-5.18799,-5.49316,42.7246
-9.46045,-4.88281,36.6211
-3.66211,-4.88281,42.7246
-5.79834,-5.79834,41.5039
-6.10352,-5.18799,40.2832
-4.57764,-4.88281,42.7246
-6.10352,-5.49316,47.6074
