Force in X axis (N),Force in Y axis (N),Force in Z axis (N)
25.9399,25.9399,32.959
26.2451,28.0762,18.3105
28.6865,28.9917,15.8691
28.6865,26.5503,23.1934
28.3813,25.0244,29.2969
28.6865,23.1934,43.9453
27.771,25.9399,23.1934
27.1606,28.0762,19.5312
28.6865,24.1089,25.6348
27.1606,25.6348,35.4004
28.6865,25.0244,23.1934
27.771,25.6348,26.8555
25.9399,32.3486,14.6484
28.6865,25.6348,20.752
23.1934,28.6865,21.9727
27.1606,24.7192,41.5039
28.0762,23.1934,47.6074
27.1606,22.583,37.8418
28.9917,25.0244,28.0762
28.0762,25.0244,18.3105
28.6865,28.6865,10.9863
27.771,26.8555,28.0762
27.4658,26.8555,19.5312
29.9072,26.2451,31.7383
33.2642,24.1089,30.5176
28.3813,26.2451,37.8418
28.3813,25.3296,25.6348
26.8555,26.8555,29.2969
27.4658,25.6348,15.8691
28.3813,26.5503,21.9727
31.7383,21.6675,28.0762
24.7192,31.1279,14.6484
29.9072,25.6348,26.8555
27.4658,25.9399,26.8555
28.3813,26.2451,23.1934
28.6865,26.8555,30.5176
28.3813,25.0244,31.7383
27.771,25.3296,19.5312
27.1606,27.1606,23.1934
28.3813,25.9399,26.8555
27.771,25.9399,21.9727
27.4658,27.1606,21.9727
28.0762,25.9399,21.9727
29.2969,25.6348,24.4141
29.6021,25.9399,25.6348
28.9917,25.9399,24.4141
27.1606,26.8555,26.8555
28.3813,25.6348,34.1797
28.0762,26.8555,30.5176
29.2969,26.2451,23.1934
28.6865,25.9399,28.0762
26.5503,26.2451,23.1934
26.8555,26.8555,24.4141
28.0762,26.2451,35.4004
27.4658,25.9399,25.6348
34.4849,23.8037,28.0762
28.6865,26.2451,18.3105
28.6865,25.9399,24.4141
28.6865,26.2451,26.8555
28.3813,26.2451,28.0762
28.0762,24.7192,29.2969
28.6865,26.5503,37.8418
30.5176,26.2451,31.7383
27.1606,24.7192,26.8555
27.1606,26.8555,6.10352
29.6021,25.3296,19.5312
28.3813,25.6348,28.0762
28.6865,27.771,19.5312
28.3813,26.2451,30.5176
31.1279,24.7192,32.959
28.6865,26.5503,29.2969
26.2451,27.1606,26.8555
27.4658,26.8555,21.9727
29.6021,26.8555,25.6348
29.2969,25.9399,35.4004
27.1606,23.1934,45.166
28.0762,27.1606,26.8555
30.2124,25.9399,42.7246
28.0762,26.2451,32.959
28.6865,26.2451,29.2969
34.1797,21.9727,37.8418
32.959,24.7192,28.0762
29.6021,25.0244,25.6348
29.2969,27.771,28.0762
26.8555,25.6348,28.0762
26.5503,26.8555,18.3105
27.1606,26.2451,24.4141
28.6865,25.0244,42.7246
28.3813,26.8555,36.6211
30.8228,25.0244,26.8555
28.3813,26.8555,25.6348
25.3296,28.0762,21.9727
29.6021,26.2451,28.0762
25.3296,31.7383,13.4277
27.771,27.4658,18.3105
29.2969,26.2451,24.4141
27.4658,27.4658,23.1934
28.3813,27.4658,15.8691
30.2124,25.0244,26.8555
28.6865,26.8555,20.752
25.0244,27.771,23.1934
29.2969,25.3296,36.6211
27.4658,25.9399,18.3105
28.3813,26.8555,24.4141
33.5693,24.7192,24.4141
27.4658,26.2451,25.6348
29.9072,26.8555,24.4141
33.2642,25.0244,21.9727
28.0762,26.2451,19.5312
29.2969,26.8555,20.752
29.2969,25.6348,28.0762
28.3813,26.5503,29.2969
28.9917,26.8555,24.4141
27.771,26.2451,12.207
28.6865,27.4658,30.5176
25.6348,28.0762,25.6348
29.2969,26.2451,20.752
28.0762,27.4658,28.0762
25.3296,28.0762,17.0898
29.2969,26.5503,24.4141
28.3813,25.6348,23.1934
29.2969,26.2451,25.6348
29.2969,25.6348,23.1934
29.2969,24.4141,23.1934
29.2969,26.8555,23.1934
29.6021,25.6348,21.9727
28.9917,25.6348,28.0762
28.6865,26.2451,24.4141
28.6865,25.9399,25.6348
27.4658,28.0762,20.752
29.2969,27.1606,23.1934
29.2969,26.5503,29.2969
27.771,25.6348,21.9727
29.2969,27.1606,28.0762
28.6865,26.2451,30.5176
28.3813,26.8555,14.6484
28.3813,26.2451,21.9727
25.0244,30.2124,13.4277
25.9399,31.4331,13.4277
29.6021,26.8555,25.6348
29.6021,26.8555,23.1934
28.6865,25.9399,23.1934
29.2969,26.8555,26.8555
33.5693,24.7192,23.1934
31.7383,23.1934,34.1797
29.2969,24.4141,36.6211
27.4658,26.2451,28.0762
27.4658,24.7192,24.4141
28.3813,27.1606,23.1934
