Force in X axis (N),Force in Y axis (N),Force in Z axis (N)
-5.18799,-7.01904,40.2832
-7.93457,-3.35693,37.8418
-5.18799,-6.10352,34.1797
-4.57764,-6.71387,41.5039
-4.88281,-5.79834,40.2832
-6.40869,-5.49316,50.0488
-5.18799,-5.49316,36.6211
-5.49316,-6.40869,43.9453
-6.71387,-7.01904,39.0625
-6.40869,-6.10352,46.3867
-5.49316,-6.10352,50.0488
-10.0708,-3.05176,39.0625
-1.2207,-7.32422,45.166
-8.23975,-6.71387,43.9453
-4.57764,-6.40869,41.5039
-6.71387,-6.40869,43.9453
-6.71387,-6.10352,40.2832
-4.88281,-6.10352,42.7246
-6.10352,-5.79834,30.5176
-4.27246,-5.18799,40.2832
-6.71387,-5.18799,41.5039
-7.01904,-5.49316,32.959
-5.79834,-6.10352,36.6211
-6.10352,-5.79834,37.8418
-4.88281,-6.10352,37.8418
-4.88281,-6.40869,42.7246
-5.18799,-5.79834,37.8418
-5.49316,-4.27246,46.3867
-4.27246,-8.54492,54.9316
-5.18799,-7.01904,45.166
-5.49316,-6.71387,46.3867
-4.57764,-6.10352,36.6211
-5.18799,-5.18799,37.8418
-5.18799,-5.18799,37.8418
-5.49316,-6.10352,41.5039
-5.49316,-6.40869,34.1797
-8.23975,-2.44141,37.8418
-4.57764,-5.79834,37.8418
-7.32422,-5.18799,39.0625
-5.18799,-5.49316,46.3867
-5.18799,-4.27246,36.6211
-5.49316,-5.18799,41.5039
-6.10352,-4.88281,42.7246
-6.40869,-8.54492,59.8145
-6.40869,-6.10352,47.6074
-5.79834,-10.376,54.9316
-6.10352,-5.18799,41.5039
-5.18799,-5.79834,31.7383
-5.79834,-5.49316,36.6211
-4.57764,-6.71387,46.3867
-9.46045,-4.88281,42.7246
-4.88281,-5.79834,41.5039
-7.01904,-2.44141,36.6211
-5.49316,-5.49316,40.2832
-6.10352,-6.10352,34.1797
-4.27246,-6.71387,40.2832
-5.18799,-3.35693,47.6074
-5.79834,-4.88281,37.8418
-2.13623,-11.9019,54.9316
-5.79834,-5.79834,43.9453
