Vibration in  X (g),Vibration in Y (g),Vibration in Z (g)
0.016349,-0.170027,0.139727
0.206648,0.034441,0.095476
0.318691,0.234549,0.188991
0.247192,0.09831,-0.134931
-0.093297,-0.048392,-0.476074
-0.291879,-0.002616,-0.114441
-0.037057,-0.070844,0.285339
0.180708,-0.25613,0.098092
0.009155,-0.147356,-0.063869
-0.092425,0.161307,0.099618
0.07673,0.168065,0.090027
0.038147,-0.043597,-0.148228
-0.180272,-0.05515,-0.085885
0.011553,0.02267,0.200108
0.377764,-0.079564,0.121416
0.180054,-0.155422,-0.148446
-0.23128,0.035313,-0.14583
-0.08109,0.188991,-0.063433
0.194005,-0.000218,-0.099618
-0.070626,-0.148446,-0.062125
-0.307792,0.042289,0.192697
0.015041,0.105504,0.370789
0.286865,-0.066921,0.076294
0.104632,0.072588,-0.273568
-0.059727,0.3285,-0.151716
-0.005668,0.077602,0.00436
-0.040763,-0.328936,-0.09613
-0.120762,-0.258745,0.026158
0.051226,0.021362,0.297546
0.275748,0.02485,0.076948
0.117275,-0.048392,-0.309535
-0.242615,0.055586,-0.17722
-0.235203,0.043161,0.140817
0.07564,-0.156948,0.148446
0.168719,-0.142561,-0.087411
0.051226,0.079346,-0.185067
-0.033351,0.097656,-0.026594
-0.163487,-0.089155,-0.011771
-0.221034,-0.153896,0.001308
0.030082,-0.057111,0.244359
0.267901,-0.00218,0.139509
0.114659,-0.027466,-0.191607
-0.142779,-0.006975,-0.064959
-0.091117,0.017875,0.135367
0.114441,-0.113787,-0.048392
0.113787,-0.260053,-0.125994
-0.04643,-0.143215,0.07128
-0.066921,0.083923,0.006975
0.019182,0.07237,-0.260925
-0.119672,-0.080654,-0.184195
-0.341361,-0.087193,0.147356
-0.169591,-0.024196,0.27444
0.141035,-0.023106,0.069318
0.082397,0.014605,-0.120544
-0.028992,0.051662,0.111607
0.093733,-0.018311,0.265939
0.108337,-0.018311,-0.324358
-0.062125,0.10267,-0.720651
-0.23237,0.0194,-0.019836
-0.359453,-0.177002,0.43444
-0.272478,-0.017003,-0.135367
0.010899,0.212315,-0.135803
0.10376,0.042725,0.521197
-0.056893,-0.013515,0.188555
-0.164141,0.280326,-0.37711
-0.125122,0.18158,0.136893
-0.081744,-0.236947,0.458636
-0.086103,-0.155422,-0.261797
-0.004578,0.098092,-0.573512
0.231062,-0.176784,0.347682
0.390843,-0.492205,1.059832
0.064305,-0.222996,0.090245
-0.737435,0.189863,-1.794652
-0.976127,0.095912,-1.760864
-0.014387,-0.27226,1.388332
0.888715,-0.297982,3.361075
0.781468,-0.021798,0.556728
0.298854,0.135367,-2.577209
-0.365557,0.154114,-1.248169
-1.228768,0.169591,1.295907
-1.070295,0.168501,0.506592
0.654384,0.047084,-1.174055
1.891218,-0.371878,0.124032
0.839233,-0.618199,1.943534
-0.971549,-0.008719,0.524902
-1.274545,0.598363,-1.797049
-0.288827,0.105722,-0.536673
0.50463,-0.460597,1.255144
0.646101,0.131226,-0.654384
0.663757,0.586809,-0.374058
0.516837,-0.318255,3.094918
-0.074986,-0.769915,1.175581
-0.311061,0.27662,-2.84293
0.061689,0.724357,-1.371983
-0.020272,-0.061253,0.09504
-0.422232,-0.350952,-1.571437
-0.141471,-0.143869,-0.588989
0.357928,-0.448826,1.984733
0.405666,-0.52621,1.293945
0.402396,0.126648,-0.508554
0.384739,0.430298,-0.8558
-0.134713,0.14692,-0.309099
-0.940813,0.151934,0.566101
-1.050895,0.382124,0.380598
-0.026594,0.163051,-0.431824
1.034546,-0.140599,0.155858
0.980268,0.044468,1.030404
0.282506,0.179182,0.168501
-0.10049,0.001308,-1.282174
-0.216893,-0.027684,-0.9552
-0.438799,-0.076294,0.287083
-0.379508,-0.304958,0.22365
0.204468,-0.356838,-0.067575
0.590951,-0.250462,0.60294
0.420925,-0.147574,0.735692
0.153678,-0.053188,-0.239999
-0.014387,-0.028338,-0.818743
-0.130572,0.057111,-0.27553
-0.11989,0.149972,-0.011117
-0.03139,-0.165667,-0.490243
0.034659,-0.554548,0.018093
0.064741,-0.2788,0.942775
0.060599,0.218855,0.276184
0.061035,0.1988,-0.636727
0.038365,0.083923,-0.285993
-0.067357,0.252642,0.167411
-0.124686,0.18158,-0.005232
-0.00109,-0.180708,-0.2291
0.163923,-0.197056,0.061689
0.131444,0.081526,0.45057
-0.080654,0.085667,0.05079
-0.177002,-0.088501,-0.486537
-0.049264,-0.00218,-0.243705
0.049046,0.126648,0.044686
-0.043597,-0.115531,-0.024632
-0.137765,-0.310189,0.136893
-0.05079,0.035313,0.295149
0.051226,0.340271,-0.020272
-0.009591,0.042071,-0.222342
-0.064741,-0.210353,0.103542
0.013297,0.10703,0.248718
0.072588,0.216457,-0.110081
-0.012207,-0.295803,-0.183105
-0.157384,-0.390625,0.152152
-0.141907,0.227356,0.00327
0.016131,0.283377,-0.370571
-0.036403,-0.357492,0.003488
-0.231062,-0.346592,0.398036
-0.094822,0.250244,-0.052534
0.1491,0.209917,-0.281198
-0.036403,-0.207738,0.217983
-0.27771,-0.028774,0.258309
-0.068011,0.313677,-0.273132
0.165885,0.049046,-0.284031
-0.010245,-0.239781,0.197492
-0.245231,0.061689,0.312587
-0.15673,0.224522,-0.060381
0.052752,-0.139291,-0.240871
0.020054,-0.17177,0.039455
-0.158473,0.255258,0.093733
-0.166539,0.215585,-0.243269
-0.106376,-0.220381,-0.118147
-0.154986,-0.112261,0.408718
-0.103324,0.309753,0.271606
0.084795,0.165231,-0.244359
0.075204,-0.128828,-0.068665
-0.158909,0.148882,0.242397
-0.197928,0.340271,-0.063651
0.033351,-0.115313,-0.243923
0.060599,-0.311279,0.096784
-0.143215,0.210571,0.211879
-0.091553,0.387137,-0.133405
0.067357,-0.084359,-0.203378
-0.131226,-0.120108,0.100926
-0.320653,0.311279,0.121198
-0.048828,0.154986,0.00218
0.205122,-0.303432,0.147574
0.058855,-0.0194,0.222778
-0.039237,0.451442,-0.072588
0.103106,0.106812,-0.348118
0.025068,-0.340489,-0.104632
-0.288827,-0.053842,0.150408
-0.245013,0.200326,-0.135585
0.116839,-0.15019,-0.143215
0.130572,-0.301252,0.374494
-0.102016,0.112261,0.323486
0.027248,0.265067,-0.171552
0.240217,-0.088937,-0.119672
-0.00109,-0.115313,0.062343
-0.221688,0.277928,-0.185721
0.02703,0.137547,-0.216893
0.161961,-0.446865,0.174386
-0.054496,-0.324576,0.326974
0.017221,0.267029,0.120544
0.354222,0.119019,-0.00436
0.235421,-0.324358,0.042943
-0.248936,0.016785,-0.115749
-0.328718,0.384086,-0.397382
0.042071,-0.12752,-0.119019
0.178964,-0.477382,0.361851
-0.014387,0.063869,0.182234
-0.012861,0.316947,-0.086757
0.149754,-0.208173,0.097002
0.075422,-0.268555,0.112479
-0.051226,0.333514,-0.213841
0.080872,0.277274,-0.27553
0.154768,-0.401306,0.124468
-0.084795,-0.3479,0.317601
-0.151716,0.258527,-0.011335
0.157384,0.155858,-0.099618
0.205558,-0.322832,0.162833
-0.10376,-0.057765,-0.069536
-0.060381,0.401088,-0.472804
0.267465,0.029646,-0.087193
0.120326,-0.4279,0.473022
-0.30365,-0.041853,0.233677
-0.195748,0.335257,-0.193787
0.221034,-0.044033,-0.03139
0.17177,-0.272478,0.191825
-0.113569,0.156512,-0.075204
0.005014,0.284031,-0.259617
0.194659,-0.205558,0.026812
-0.008283,-0.319999,0.156294
-0.141035,0.15673,-0.033133
0.066267,0.257874,-0.078474
0.114223,-0.136893,-0.008719
-0.084359,-0.161961,0.054278
-0.064741,0.131008,0.090463
0.164577,0.028774,0.030736
0.136457,-0.196838,-0.045994
-0.141253,0.016349,-0.149318
-0.139945,0.208827,-0.138637
0.115531,-0.070844,0.05624
0.038147,-0.261797,0.051662
-0.226048,0.007411,-0.084795
-0.047956,0.173078,0.049264
0.279236,-0.063869,0.256348
0.103324,-0.170462,0.066703
-0.211661,0.105504,-0.340925
-0.088937,0.172424,-0.263759
0.079564,-0.232152,0.190299
-0.07128,-0.367737,0.234549
-0.10703,0.051662,-0.058419
0.097656,0.197056,-0.09613
0.063869,-0.147356,0.045558
-0.187465,-0.219509,0.003052
-0.119019,0.02376,-0.111825
0.176348,-0.008937,-0.028338
0.083051,-0.201198,0.065831
-0.184413,-0.123814,-0.034223
0.025504,0.029864,-0.004578
0.294495,-0.052752,0.162179
0.005232,-0.074986,-0.073678
-0.35226,0.167847,-0.448608
-0.327846,0.134713,-0.224958
-0.261361,-0.248282,0.180708
-0.192043,-0.217765,0.126212
0.162833,0.145394,0.168283
0.427246,0.090899,0.52512
0.185939,-0.132316,0.295367
-0.142343,0.074114,-0.503976
-0.254822,0.339617,-0.861032
-0.378636,0.137111,-0.579834
-0.374712,-0.201852,0.091335
-0.015477,-0.245667,0.873239
0.360761,-0.086539,0.891549
0.273568,0.124904,-0.065177
-0.332206,0.255476,-0.878688
-0.867135,0.254822,-0.712585
-0.663103,0.217983,0.143215
0.10158,-0.021362,0.757926
0.633458,-0.372968,0.58027
0.631932,-0.234767,0.192697
0.478254,0.218855,0.362505
0.305394,0.177002,0.461469
-0.163923,-0.187465,-0.730678
-0.789751,-0.229536,-2.330453
-0.845337,-0.18049,-1.375035
-0.165885,-0.293187,1.876613
0.218637,-0.12643,2.16871
-0.058201,0.124468,-0.694057
0.122942,-0.132098,-0.268555
0.840105,-0.149318,2.515956
0.73264,0.394985,1.51062
-0.144523,0.272042,-1.588222
-0.428554,-0.289917,-2.124895
-0.183323,-0.224086,-0.991385
-0.388881,-0.139509,-0.370353
-0.536455,-0.425938,0.671823
0.484358,-0.483486,2.115958
1.76348,-0.325012,1.11302
1.33122,-0.136239,-1.297651
-0.503322,0.127738,-0.895909
-1.681955,0.169809,-0.09722
-1.273673,-0.084141,-1.902335
0.031172,-0.485665,-1.179722
0.850568,-0.896345,2.306039
0.914655,-0.365775,2.153451
0.95193,0.989641,-0.081744
0.445557,1.149423,-0.155422
-0.824847,0.336129,-0.052752
-1.449367,0.315639,-1.303755
-0.782122,0.319127,-1.410784
0.55869,-0.309317,0.299944
1.475961,-0.411115,0.979832
1.114763,-0.043597,0.621469
0.109427,0.00436,0.680978
-0.408064,-0.013951,-0.369481
-0.400216,0.166757,-1.520211
-0.315857,0.199454,-0.53057
-0.235203,-0.133841,0.549098
0.066049,-0.474984,0.504194
0.588117,-0.353786,0.550842
