Vibration in  X (g),Vibration in Y (g),Vibration in Z (g)
0.001962,-0.011117,-0.005232
0.002834,-0.007847,-0.001308
0,-0.001744,0.008501
-0.006321,-0.000872,0.009373
-0.010463,-0.007193,-0.000218
-0.008065,-0.013515,-0.005886
-0.00109,-0.011989,-0.00109
0.00327,-0.006321,0.004796
0.000654,-0.004578,0.001308
-0.004796,-0.007411,-0.006975
-0.006975,-0.008719,-0.007193
-0.005668,-0.006975,0.003052
-0.00545,-0.005886,0.010681
-0.00545,-0.007629,0.005668
-0.00327,-0.010463,-0.003706
-0.000872,-0.010463,-0.005668
-0.002398,-0.007411,-0.000654
-0.006104,-0.006104,0.003924
-0.006539,-0.007193,0.003924
-0.002834,-0.008065,-0.000436
-0.000654,-0.007629,-0.004578
-0.00327,-0.007629,-0.004578
-0.007193,-0.006975,-0.000654
-0.008065,-0.005668,0.004796
-0.005232,-0.00545,0.008065
0,-0.006539,0.007629
0.005014,-0.006757,0.003052
0.005886,-0.005886,-0.001526
0.001526,-0.005232,-0.002398
-0.00436,-0.006321,0
-0.006757,-0.008719,0.001308
-0.004796,-0.010899,-0.000654
-0.001744,-0.011553,-0.002616
0,-0.009155,-0.001526
-0.001308,-0.006104,0.001526
-0.005014,-0.004796,0.003706
-0.007629,-0.004578,0.003706
-0.005232,-0.004142,0.003052
0.000654,-0.004142,0.003706
0.003706,-0.005014,0.004796
0.002398,-0.007193,0.003052
-0.002398,-0.009591,-0.000654
-0.008283,-0.010245,-0.002834
-0.011771,-0.008065,-0.001526
-0.009809,-0.005668,0.000872
-0.005014,-0.006104,0.00109
-0.001308,-0.009155,-0.000654
0.001308,-0.010027,-0.000218
0.001744,-0.007847,0.004142
-0.00109,-0.006104,0.007629
-0.004796,-0.006975,0.006975
-0.005886,-0.010027,0.003052
-0.004578,-0.013515,-0.001308
-0.002616,-0.014169,-0.003706
-0.001744,-0.010899,-0.003488
-0.002834,-0.006975,-0.002398
-0.00436,-0.006321,-0.00109
-0.005232,-0.007847,0.000654
-0.004796,-0.008719,0.00327
-0.001962,-0.008065,0.007193
0.002616,-0.006539,0.008283
0.005232,-0.005014,0.004578
0.002398,-0.005668,-0.000436
-0.003706,-0.007847,-0.001526
-0.006975,-0.008937,0.001308
-0.004796,-0.008719,0.004578
0,-0.009373,0.00327
0.002398,-0.010899,-0.002398
0.00109,-0.011335,-0.007847
-0.002398,-0.009591,-0.006975
-0.006757,-0.006975,0.00109
-0.008501,-0.005014,0.008937
-0.005014,-0.005232,0.008501
