Force in X axis (N),Force in Y axis (N),Force in Z axis (N)
-7.3974622,-5.2398699,43.151846
-4.6234164,-4.0069629,28.356962
-4.3151846,-4.6234164,44.384753
-8.938601,-4.9316381,45.61766
-5.2398699,-4.6234164,50.549288
-5.2398699,-4.9316381,55.480916
-4.6234164,-5.8563234,46.850567
-6.7810087,-2.1575923,36.987311
-7.3974622,-4.0069629,53.015102
-6.1645552,-5.5480916,45.61766
-5.8563234,-4.9316381,39.453125
-5.2398699,-7.3974622,43.151846
-6.4727769,-5.5480916,39.453125
-5.8563234,-4.0069629,43.151846
-5.8563234,-4.6234164,53.015102
-4.6234164,-5.5480916,49.316381
-5.8563234,-5.2398699,44.384753
-6.4727769,-5.8563234,38.220218
-4.9316381,-6.4727769,46.850567
-4.0069629,-4.9316381,41.918939
-5.5480916,-8.938601,61.645552
-6.4727769,-5.5480916,50.549288
-5.2398699,-4.0069629,50.549288
-5.8563234,-5.5480916,44.384753
-3.6987311,-8.6303692,49.316381
-4.3151846,-5.8563234,45.61766
-2.4658241,-8.938601,53.015102
-4.9316381,-4.9316381,40.686032
-8.6303692,-0.30822776,38.220218
-5.8563234,-5.8563234,44.384753
-3.6987311,-5.8563234,41.918939
-5.8563234,-5.2398699,44.384753
-3.6987311,-8.0139157,57.94673
-5.5480916,-5.2398699,38.220218
-7.3974622,-5.8563234,50.549288
-6.1645552,-4.6234164,41.918939
-5.8563234,-4.9316381,41.918939
-4.9316381,-6.1645552,38.220218
-4.9316381,-4.6234164,44.384753
-5.2398699,-5.8563234,38.220218
-5.5480916,-4.9316381,36.987311
-4.6234164,-4.9316381,45.61766
-6.7810087,-4.9316381,50.549288
-5.8563234,-4.6234164,43.151846
-6.4727769,-4.9316381,50.549288
-5.2398699,-2.7740458,19.726512
-3.6987311,-7.3974622,44.384753
-6.4727769,-5.5480916,49.316381
-4.6234164,-4.3151846,38.220218
-4.9316381,-2.7740458,25.891148
-6.1645552,-7.0892304,41.918939
-4.9316381,-4.9316381,44.384753
-6.7810087,-4.9316381,41.918939
-6.4727769,-6.4727769,44.384753
-8.0139157,-4.3151846,35.754404
-7.3974622,-5.8563234,30.822776
-7.3974622,-5.8563234,41.918939
-5.2398699,-5.8563234,41.918939
-6.7810087,-6.7810087,39.453125
-5.2398699,-5.8563234,43.151846
-6.4727769,-6.1645552,50.549288
-5.8563234,-6.7810087,41.918939
-5.8563234,-6.4727769,46.850567
-6.7810087,-5.8563234,43.151846
-7.0892304,-5.5480916,40.686032
-5.2398699,-6.4727769,38.220218
-5.2398699,-6.1645552,32.055683
-5.2398699,-6.1645552,38.220218
-5.2398699,-4.6234164,36.987311
-6.1645552,-4.3151846,34.521497
-5.2398699,-6.1645552,41.918939
-5.2398699,-6.1645552,46.850567
-5.8563234,-6.7810087,46.850567
-7.7056839,-6.4727769,45.61766
-4.9316381,-5.8563234,40.686032
-5.2398699,-4.6234164,49.316381
-5.8563234,-7.7056839,40.686032
-7.7056839,-4.0069629,34.521497
-5.2398699,-5.8563234,38.220218
-5.5480916,-6.4727769,40.686032
-6.7810087,-4.6234164,48.083474
-5.8563234,-6.1645552,51.782195
-8.938601,-4.9316381,44.384753
-6.1645552,-4.0069629,46.850567
-6.1645552,-5.2398699,41.918939
-5.8563234,-5.8563234,41.918939
-5.2398699,-5.2398699,39.453125
-5.5480916,-6.7810087,41.918939
-5.2398699,-5.2398699,49.316381
-5.2398699,-4.6234164,41.918939
-6.4727769,-4.3151846,38.220218
-5.2398699,-5.5480916,48.083474
-6.4727769,-4.3151846,43.151846
-4.6234164,-7.3974622,34.521497
-9.5550545,-4.6234164,23.425334
-7.0892304,-4.3151846,41.918939
-4.9316381,-4.9316381,49.316381
-7.0892304,-4.9316381,38.220218
-3.0822776,-10.171508,57.94673
-6.7810087,-5.2398699,45.61766
-6.4727769,-5.8563234,41.918939
-5.2398699,-10.171508,59.179738
-9.2468227,-0.30822776,32.055683
-5.8563234,-4.0069629,30.822776
-4.9316381,-6.4727769,39.453125
-4.9316381,-6.4727769,49.316381
-3.0822776,-6.7810087,39.453125
-5.5480916,-5.8563234,40.686032
-4.6234164,-6.7810087,43.151846
-5.5480916,-4.6234164,38.220218
-4.9316381,-5.2398699,34.521497
-6.7810087,-4.6234164,40.686032
-4.6234164,-5.5480916,38.220218
0.30822776,-9.2468227,44.384753
-5.8563234,-5.8563234,41.918939
-6.7810087,-4.0069629,50.549288
-4.6234164,-5.8563234,38.220218
-4.6234164,-4.3151846,35.754404
-4.0069629,-5.8563234,43.151846
-4.6234164,-4.6234164,54.248009
-3.0822776,-5.5480916,41.918939
-4.0069629,-6.4727769,57.94673
-4.0069629,-4.3151846,49.316381
-4.3151846,-4.6234164,44.384753
-7.0892304,-4.9316381,51.782195
-4.6234164,-4.3151846,40.686032
-4.6234164,-4.9316381,39.453125
-4.3151846,-8.3221475,50.549288
-4.9316381,-4.3151846,43.151846
-4.0069629,-6.1645552,38.220218
-6.1645552,-4.9316381,44.384753
-6.1645552,-5.2398699,45.61766
-3.3904993,-6.1645552,49.316381
-4.0069629,-6.1645552,44.384753
-5.2398699,-5.8563234,32.055683
-4.3151846,-5.8563234,41.918939
-5.8563234,-6.1645552,34.521497
-5.5480916,-4.3151846,35.754404
-4.0069629,-5.5480916,41.918939
-8.6303692,-0.61645552,41.918939
-4.9316381,-4.6234164,46.850567
-5.5480916,-4.9316381,46.850567
-5.2398699,-6.1645552,40.686032
-6.1645552,-5.5480916,43.151846
-4.9316381,-7.3974622,40.686032
-5.2398699,-6.1645552,39.453125
-8.0139157,-0.30822776,33.28859
-2.4658241,-7.0892304,39.453125
-5.5480916,-5.5480916,39.453125
-6.1645552,-6.1645552,46.850567
-6.4727769,-5.2398699,40.686032
-5.2398699,-2.4658241,25.891148
-9.2468227,-4.3151846,48.083474
-8.0139157,-4.3151846,39.453125
-5.2398699,-5.8563234,41.918939
-5.2398699,-5.5480916,43.151846
-4.3151846,-6.1645552,45.61766
-5.8563234,-6.1645552,45.61766
-6.7810087,-4.9316381,39.453125
-5.2398699,-5.2398699,45.61766
-4.6234164,-5.5480916,44.384753
-4.3151846,-5.5480916,38.220218
-9.8632762,-3.3904993,35.754404
-5.8563234,-5.8563234,41.918939
-5.2398699,-5.5480916,38.220218
-5.8563234,-4.9316381,43.151846
-7.0892304,-5.8563234,48.083474
-4.9316381,-5.8563234,43.151846
-4.9316381,-4.9316381,41.918939
-6.1645552,-5.5480916,44.384753
-5.2398699,-5.8563234,38.220218
-0.30822776,-9.5550545,45.61766
-5.8563234,-4.6234164,41.918939
-6.4727769,-4.9316381,45.61766
-5.2398699,-8.938601,57.94673
-2.7740458,-6.1645552,48.083474
-4.9316381,-6.4727769,44.384753
-3.3904993,-7.3974622,35.754404
-5.8563234,-6.4727769,43.151846
-6.1645552,-4.6234164,33.28859
-5.2398699,-5.2398699,50.549288
-5.8563234,-6.4727769,41.918939
-5.5480916,-4.9316381,38.220218
