Force in X axis (N),Force in Y axis (N),Force in Z axis (N)
-5.8563234,-4.9316381,43.151846
-4.6234164,-4.3151846,49.316381
-4.9316381,-7.7056839,45.61766
-3.3904993,-5.2398699,43.151846
-8.3221475,-1.8493605,29.589869
-5.2398699,-4.0069629,38.220218
-5.2398699,-8.3221475,59.179738
-7.7056839,-1.5411388,38.220218
-4.9316381,-4.6234164,38.220218
-4.6234164,-5.2398699,44.384753
-5.8563234,-1.232907,32.055683
-5.5480916,-4.6234164,43.151846
-5.2398699,-4.6234164,39.453125
-4.9316381,-5.5480916,41.918939
-6.1645552,-5.2398699,39.453125
-2.4658241,-7.0892304,50.549288
-5.8563234,-5.2398699,38.220218
-4.9316381,-6.1645552,41.918939
-2.7740458,-6.4727769,41.918939
-5.8563234,-5.2398699,41.918939
-4.3151846,-4.9316381,39.453125
-4.3151846,-5.5480916,46.850567
-3.6987311,-2.4658241,22.192427
-4.9316381,-5.2398699,41.918939
-2.1575923,-7.7056839,48.083474
-4.9316381,-4.9316381,44.384753
-5.2398699,-5.5480916,41.918939
-4.9316381,-5.2398699,40.686032
-4.3151846,-5.8563234,40.686032
-4.6234164,-4.9316381,54.248009
-3.6987311,-4.9316381,40.686032
-5.2398699,-5.2398699,38.220218
-3.6987311,-5.8563234,43.151846
-4.6234164,-5.8563234,48.083474
-5.2398699,-5.2398699,40.686032
-5.5480916,-5.5480916,39.453125
-6.1645552,-5.2398699,38.220218
-8.3221475,-1.232907,36.987311
-5.2398699,-4.6234164,45.61766
-6.4727769,-4.6234164,38.220218
-5.5480916,-4.0069629,45.61766
-4.9316381,-7.0892304,44.384753
-4.0069629,-5.5480916,35.754404
-5.2398699,-4.6234164,48.083474
-5.5480916,-6.1645552,48.083474
-3.6987311,-6.1645552,36.987311
-4.0069629,-5.5480916,38.220218
-3.3904993,-2.7740458,35.754404
-4.0069629,-6.1645552,39.453125
-6.1645552,-4.0069629,43.151846
-5.2398699,-3.6987311,40.686032
-4.9316381,-5.5480916,38.220218
-4.6234164,-4.0069629,40.686032
-4.9316381,-0.92468227,27.124055
-5.2398699,-4.9316381,38.220218
-4.6234164,-5.5480916,46.850567
