Force in X axis (N),Force in Y axis (N),Force in Z axis (N)
-3.4240686,-5.2917498,43.579092
-4.0466358,-5.2917498,39.84375
-3.4240686,-4.6691928,39.84375
-3.7353522,-3.4240686,34.863294
-4.0466358,-4.9804662,41.088864
-4.3579092,-5.2917498,42.333978
-3.7353522,-7.7819778,62.255904
-4.6691928,-3.7353522,43.579092
-7.1594208,-1.867671,37.353522
-3.4240686,-6.2255904,54.785118
-4.0466358,-4.3579092,44.824206
-4.0466358,-2.8015116,29.882838
-4.9804662,-3.7353522,41.088864
-5.2917498,-5.6030232,38.598636
-5.2917498,-4.3579092,38.598636
-4.6691928,-6.2255904,43.579092
-2.8015116,-4.3579092,38.598636
-4.0466358,-4.6691928,44.824206
-8.404545,-2.8015116,42.333978
-4.9804662,-5.2917498,46.06932
-4.0466358,-5.2917498,46.06932
-3.4240686,-6.5368638,41.088864
-9.3383754,-1.867671,38.598636
1.245114,-8.7158184,43.579092
-4.0466358,-4.9804662,47.314434
-3.4240686,-4.3579092,33.61818
-3.1127952,-6.5368638,42.333978
-3.1127952,-6.2255904,43.579092
-4.0466358,-5.6030232,42.333978
-3.4240686,-3.7353522,47.314434
-2.8015116,-4.9804662,44.824206
-2.1789546,-6.2255904,42.333978
-3.7353522,-5.6030232,38.598636
-4.0466358,-3.1127952,38.598636
-3.7353522,-4.6691928,41.088864
-3.4240686,-5.9143068,43.579092
-4.0466358,-5.2917498,42.333978
-4.0466358,-4.9804662,38.598636
1.245114,-8.0932614,42.333978
-4.0466358,-6.2255904,44.824206
-3.4240686,-1.245114,28.637724
-4.9804662,-4.6691928,38.598636
-4.0466358,-5.9143068,42.333978
-4.3579092,-5.2917498,42.333978
-4.6691928,-4.9804662,39.84375
-3.4240686,-6.2255904,24.902382
-4.3579092,-5.2917498,46.06932
-3.4240686,-6.2255904,43.579092
-4.6691928,-1.5563976,36.108408
-4.9804662,-7.7819778,51.049776
-3.1127952,-4.9804662,41.088864
-3.7353522,-4.3579092,41.088864
-3.7353522,-5.2917498,47.314434
-3.4240686,-4.9804662,41.088864
-2.4902382,-5.2917498,42.333978
-7.4707044,-0.31127952,44.824206
-2.8015116,-4.6691928,43.579092
-4.9804662,-4.3579092,44.824206
-3.4240686,-5.2917498,47.314434
-4.6691928,-5.2917498,44.824206
-6.2255904,0.31127952,41.088864
-5.6030232,-4.9804662,42.333978
-9.3383754,-1.867671,38.598636
-4.3579092,-9.027102,72.216816
-3.4240686,-3.7353522,42.333978
-6.5368638,0.93383754,29.882838
-4.3579092,-3.4240686,44.824206
-4.9804662,-5.2917498,43.579092
-7.1594208,1.245114,33.61818
-5.2917498,-4.0466358,46.06932
-4.0466358,-3.7353522,42.333978
-7.1594208,-3.7353522,42.333978
-5.2917498,-5.2917498,23.657268
-4.6691928,-4.9804662,48.559548
-2.8015116,-4.6691928,37.353522
-4.9804662,-6.2255904,38.598636
-2.4902382,-4.9804662,41.088864
-4.6691928,-5.2917498,46.06932
2.4902382,-8.7158184,41.088864
-6.2255904,-2.4902382,34.863294
-1.867671,-4.9804662,49.804662
-3.4240686,-4.0466358,48.559548
-2.8015116,-4.0466358,33.61818
-3.1127952,-6.2255904,39.84375
-3.4240686,-4.0466358,51.049776
-2.4902382,-5.6030232,41.088864
-2.8015116,-4.0466358,42.333978
-3.1127952,-4.3579092,37.353522
-2.8015116,-4.0466358,48.559548
-2.8015116,-4.6691928,38.598636
-3.4240686,-3.4240686,33.61818
-1.245114,-4.3579092,43.579092
-2.8015116,-3.4240686,51.049776
-3.1127952,-5.2917498,43.579092
-2.8015116,-3.7353522,38.598636
-3.1127952,-3.7353522,42.333978
1.5563976,-7.4707044,56.030232
-2.8015116,-2.8015116,42.333978
-3.7353522,-5.9143068,44.824206
-2.4902382,-2.8015116,38.598636
-2.8015116,-4.0466358,41.088864
-2.8015116,-3.7353522,34.863294
-3.4240686,-4.0466358,39.84375
-1.867671,-4.3579092,39.84375
-4.0466358,-3.4240686,43.579092
-3.7353522,-3.7353522,38.598636
-3.7353522,-3.7353522,41.088864
-2.4902382,-4.0466358,28.637724
-4.9804662,-0.62255904,28.637724
-4.9804662,-4.6691928,37.353522
-4.3579092,-3.4240686,44.824206
-1.5563976,-2.8015116,42.333978
-3.4240686,-6.5368638,41.088864
-3.1127952,-3.4240686,36.108408
-3.7353522,-4.6691928,42.333978
-2.8015116,-3.7353522,44.824206
-8.404545,-3.7353522,38.598636
-3.4240686,-5.2917498,41.088864
-6.2255904,-4.9804662,38.598636
-3.7353522,-5.9143068,43.579092
-3.4240686,-5.6030232,39.84375
-3.4240686,-5.2917498,38.598636
-3.4240686,-3.7353522,41.088864
-3.7353522,-4.9804662,48.559548
-3.4240686,-4.6691928,39.84375
-2.1789546,-4.9804662,42.333978
-3.4240686,-6.8481474,56.030232
-0.31127952,-6.5368638,48.559548
-2.8015116,-4.9804662,37.353522
-2.8015116,-4.0466358,44.824206
-3.1127952,-5.2917498,47.314434
-2.1789546,-4.9804662,46.06932
-2.8015116,-4.3579092,37.353522
-4.0466358,-4.3579092,43.579092
-2.8015116,-6.2255904,46.06932
-3.1127952,-4.6691928,47.314434
-3.4240686,-5.9143068,38.598636
-3.4240686,-4.3579092,47.314434
-2.8015116,-4.9804662,44.824206
-4.0466358,-3.4240686,42.333978
-1.5563976,-4.6691928,49.804662
-4.3579092,-4.6691928,51.049776
-4.3579092,-5.2917498,46.06932
-3.7353522,-4.0466358,44.824206
-3.1127952,-5.2917498,42.333978
-5.6030232,-3.4240686,53.540004
-4.0466358,-4.9804662,38.598636
-3.1127952,-4.6691928,41.088864
-4.3579092,-5.6030232,43.579092
-3.4240686,-4.6691928,38.598636
