Force in X axis (N),Force in Y axis (N),Force in Z axis (N)
-5.49316,-4.57764,34.1797
-3.35693,-5.79834,45.166
-5.49316,-4.88281,42.7246
-3.66211,-5.49316,39.0625
-4.57764,-6.10352,39.0625
-4.57764,-4.88281,41.5039
-4.88281,-4.57764,47.6074
-4.57764,-5.18799,41.5039
-4.88281,-4.27246,29.2969
-5.49316,-5.18799,34.1797
-4.27246,-4.57764,39.0625
-3.96729,-4.57764,47.6074
-3.66211,-5.49316,35.4004
-3.96729,-6.10352,39.0625
-2.74658,-5.49316,29.2969
-4.88281,-3.96729,42.7246
-3.66211,-5.49316,43.9453
-6.71387,-1.52588,30.5176
-4.27246,-6.71387,35.4004
-4.88281,-5.18799,36.6211
-6.40869,-3.96729,37.8418
-3.66211,-5.18799,39.0625
-5.49316,-4.57764,28.0762
-3.96729,-4.88281,35.4004
-4.27246,-4.27246,43.9453
-4.57764,-4.88281,43.9453
-4.27246,-5.79834,37.8418
-5.18799,-6.10352,29.2969
-5.49316,-6.40869,42.7246
-5.49316,-3.05176,32.959
-4.57764,-4.27246,40.2832
-4.88281,-4.88281,40.2832
-4.57764,-4.27246,31.7383
-6.40869,-4.88281,46.3867
-3.66211,-5.18799,45.166
-5.79834,-5.18799,35.4004
-4.27246,-5.49316,37.8418
-3.96729,-6.10352,42.7246
-4.57764,-8.8501,56.1523
-3.96729,-4.27246,40.2832
-3.96729,-5.18799,43.9453
-6.40869,-3.35693,30.5176
-3.96729,-5.18799,40.2832
-4.27246,-5.79834,39.0625
-4.88281,-5.79834,41.5039
-5.18799,-5.18799,32.959
-5.49316,-4.57764,41.5039
-5.49316,-5.79834,43.9453
-3.96729,-4.27246,37.8418
-5.18799,-4.57764,31.7383
-3.96729,-4.27246,28.0762
-4.57764,-4.88281,41.5039
-4.57764,-4.57764,46.3867
-4.27246,-5.79834,41.5039
-3.05176,-6.10352,39.0625
-5.79834,-5.18799,41.5039
-5.18799,-5.18799,41.5039
-3.96729,-4.57764,35.4004
-4.27246,-5.49316,39.0625
-3.96729,-6.71387,51.2695
-3.96729,-6.10352,46.3867
-4.27246,-4.88281,45.166
-4.88281,-3.96729,39.0625
-2.74658,-7.01904,36.6211
-5.18799,-7.01904,42.7246
-5.18799,-5.18799,45.166
-4.88281,-5.49316,39.0625
-4.88281,-3.96729,35.4004
-5.18799,-5.79834,37.8418
-3.96729,-5.18799,37.8418
-3.96729,-5.79834,40.2832
-2.74658,-5.49316,39.0625
-3.35693,-6.10352,35.4004
-5.49316,-5.18799,37.8418
-4.27246,-4.88281,45.166
-8.54492,-2.44141,32.959
-4.88281,-3.96729,36.6211
-4.88281,-5.18799,37.8418
-3.96729,-5.18799,36.6211
-4.88281,-4.57764,39.0625
-4.27246,-5.18799,23.1934
-4.88281,-4.57764,40.2832
-3.66211,-4.57764,42.7246
-4.57764,-7.32422,62.2559
-5.18799,-4.57764,35.4004
-5.18799,-4.88281,36.6211
-4.57764,-5.18799,41.5039
-4.57764,-3.96729,40.2832
-3.05176,-4.88281,40.2832
-4.57764,-5.18799,36.6211
-3.35693,-6.10352,39.0625
-6.10352,-5.18799,37.8418
-4.57764,-5.18799,39.0625
-3.96729,-5.49316,46.3867
-5.49316,-4.27246,37.8418
-2.74658,-5.18799,42.7246
-4.88281,-3.66211,37.8418
-2.74658,-6.71387,36.6211
-3.66211,-4.88281,46.3867
-2.74658,-7.62939,42.7246
-4.27246,-4.57764,37.8418
-4.57764,-4.88281,40.2832
-4.27246,-5.49316,37.8418
-4.57764,-3.96729,41.5039
-3.35693,-4.27246,53.7109
-4.88281,-4.88281,37.8418
-4.27246,-5.18799,34.1797
-4.27246,-5.79834,41.5039
-4.57764,-4.57764,45.166
-3.96729,-4.57764,34.1797
-4.88281,-3.96729,42.7246
-4.57764,-4.57764,31.7383
-4.57764,-4.88281,42.7246
-3.96729,-4.27246,40.2832
-5.18799,-4.57764,39.0625
-0.305176,-7.93457,37.8418
-2.74658,-5.49316,43.9453
-1.83105,-8.8501,48.8281
-4.88281,-4.27246,41.5039
-3.66211,-4.88281,39.0625
-6.10352,-4.27246,43.9453
-4.57764,-6.10352,40.2832
-3.96729,-4.88281,36.6211
-4.27246,-6.10352,39.0625
-6.71387,-4.88281,40.2832
-4.88281,-5.18799,50.0488
-5.79834,-5.18799,37.8418
-4.57764,-3.66211,50.0488
-3.35693,-5.49316,39.0625
-3.66211,-5.18799,42.7246
-3.35693,-6.71387,40.2832
-2.74658,-5.18799,35.4004
-3.05176,-5.18799,42.7246
-4.57764,-4.88281,45.166
-5.18799,-5.49316,35.4004
-4.57764,-5.79834,35.4004
-2.13623,-6.40869,36.6211
-3.66211,-6.40869,41.5039
-2.13623,-6.71387,54.9316
-6.71387,-4.88281,39.0625
-2.44141,-4.88281,35.4004
-6.40869,-3.96729,39.0625
-4.57764,-3.96729,45.166
-3.96729,-4.88281,37.8418
-4.27246,-5.79834,37.8418
-4.57764,-5.18799,35.4004
-4.57764,-4.57764,40.2832
-4.27246,-4.27246,50.0488
-3.35693,-4.27246,31.7383
-4.88281,-6.40869,37.8418
-3.96729,-5.18799,40.2832
