Force in X axis (N),Force in Y axis (N),Force in Z axis (N)
15.564,11.9019,-10.9863
11.5967,12.8174,-6.10352
12.5122,14.6484,-8.54492
10.376,12.8174,-9.76562
12.207,11.5967,-6.10352
10.9863,12.207,3.66211
11.9019,12.8174,-8.54492
12.5122,12.207,-3.66211
11.5967,14.0381,-10.9863
12.5122,10.6812,6.10352
14.9536,11.9019,-1.2207
10.6812,11.9019,-9.76562
15.2588,8.54492,4.88281
12.5122,14.6484,-4.88281
12.5122,13.1226,-8.54492
12.5122,11.2915,-4.88281
11.2915,13.4277,-7.32422
12.5122,13.7329,-2.44141
12.207,13.4277,-3.66211
12.5122,14.6484,-2.44141
13.7329,14.0381,-9.76562
14.6484,9.46045,4.88281
12.5122,13.7329,-10.9863
12.5122,13.7329,-3.66211
9.76562,14.3433,-10.9863
12.5122,13.7329,-10.9863
12.5122,12.5122,12.207
13.7329,12.5122,-10.9863
13.4277,13.7329,-9.76562
11.5967,12.5122,-1.2207
11.9019,13.1226,4.88281
13.1226,14.6484,-8.54492
13.1226,12.8174,-3.66211
12.8174,10.9863,4.88281
13.4277,14.3433,-8.54492
13.1226,13.1226,-8.54492
13.4277,13.1226,-12.207
13.4277,13.4277,-4.88281
14.0381,13.4277,-10.9863
12.5122,11.9019,-6.10352
12.5122,11.9019,-4.88281
11.9019,13.1226,-4.88281
13.1226,14.9536,-12.207
11.5967,13.7329,-4.88281
12.5122,12.5122,-12.207
13.7329,13.4277,-13.4277
11.5967,13.4277,4.88281
12.207,13.1226,2.44141
13.1226,14.0381,-7.32422
11.9019,13.1226,-1.2207
13.7329,12.5122,-8.54492
13.1226,14.3433,3.66211
11.5967,17.7002,-17.0898
13.1226,12.207,-2.44141
13.1226,12.207,-9.76562
13.7329,14.6484,1.2207
13.4277,12.207,-14.6484
13.4277,12.8174,-8.54492
13.7329,13.4277,-1.2207
13.1226,12.8174,-8.54492
13.1226,14.3433,-4.88281
12.8174,14.0381,-8.54492
12.8174,14.0381,-8.54492
12.5122,16.7847,-13.4277
12.8174,13.4277,-9.76562
13.7329,13.1226,-3.66211
11.2915,15.564,-13.4277
14.3433,12.8174,-4.88281
13.7329,13.4277,-19.5312
12.5122,13.7329,-9.76562
13.1226,13.4277,-4.88281
11.9019,14.0381,-12.207
13.7329,13.7329,-12.207
13.1226,16.7847,-19.5312
12.5122,13.7329,-6.10352
13.7329,14.0381,-17.0898
12.8174,14.3433,-4.88281
13.4277,14.9536,-6.10352
12.5122,13.7329,-13.4277
13.1226,15.2588,-4.88281
11.9019,11.9019,-12.207
14.3433,13.7329,-4.88281
12.8174,14.0381,-10.9863
13.4277,14.3433,-8.54492
14.3433,10.9863,-3.66211
13.1226,13.7329,-6.10352
12.5122,13.4277,-10.9863
14.3433,13.1226,-1.2207
14.3433,13.4277,-4.88281
13.1226,13.7329,-20.752
12.8174,13.4277,-9.76562
12.8174,14.6484,-7.32422
13.7329,13.4277,-6.10352
13.7329,14.0381,-8.54492
13.1226,13.7329,-12.207
14.3433,13.1226,-6.10352
12.8174,13.7329,-10.9863
12.8174,14.0381,-13.4277
12.207,14.9536,-8.54492
13.1226,12.8174,-10.9863
12.207,16.7847,-12.207
14.0381,14.6484,-8.54492
13.1226,14.9536,-9.76562
13.1226,13.1226,-12.207
13.7329,13.1226,-4.88281
12.8174,11.5967,8.54492
12.8174,14.9536,-7.32422
13.7329,13.7329,-4.88281
16.1743,8.8501,0
12.5122,14.6484,-10.9863
13.4277,14.3433,-3.66211
12.8174,14.6484,-7.32422
14.3433,14.3433,-10.9863
13.4277,13.7329,-7.32422
12.207,14.3433,-8.54492
14.0381,13.7329,-7.32422
12.5122,14.3433,-6.10352
12.207,14.9536,-8.54492
12.5122,13.7329,-9.76562
13.7329,14.9536,-13.4277
11.9019,14.9536,-4.88281
13.7329,14.6484,-18.3105
12.5122,14.3433,-13.4277
13.4277,14.0381,-2.44141
11.9019,14.6484,-12.207
14.0381,14.3433,-10.9863
13.7329,14.3433,-6.10352
13.4277,14.9536,-8.54492
14.3433,13.4277,-8.54492
13.7329,14.6484,-13.4277
12.8174,13.1226,-8.54492
14.0381,13.7329,-7.32422
13.1226,14.3433,-13.4277
13.1226,15.2588,-7.32422
13.4277,13.7329,-14.6484
13.7329,13.7329,-4.88281
12.8174,12.5122,-7.32422
13.4277,14.3433,-18.3105
13.1226,14.0381,-9.76562
13.4277,14.3433,-8.54492
12.8174,13.7329,-8.54492
13.4277,13.4277,-10.9863
11.2915,17.395,-18.3105
12.5122,14.3433,-2.44141
14.3433,14.3433,-7.32422
13.7329,13.4277,-14.6484
12.8174,14.3433,-4.88281
13.4277,14.6484,-7.32422
13.4277,15.2588,-4.88281
12.207,15.2588,-8.54492
14.3433,12.8174,7.32422
14.3433,14.9536,-3.66211
14.0381,14.9536,-14.6484
14.9536,14.3433,-4.88281
14.0381,14.3433,-9.76562
14.3433,13.1226,-14.6484
12.5122,14.0381,-8.54492
13.7329,14.3433,-1.2207
13.1226,14.9536,-7.32422
14.6484,14.3433,-14.6484
14.3433,14.0381,-14.6484
14.6484,13.7329,-7.32422
15.564,14.0381,-7.32422
14.9536,13.7329,-17.0898
13.1226,15.2588,-7.32422
14.3433,12.8174,-9.76562
14.3433,15.2588,-7.32422
13.7329,14.9536,-12.207
14.3433,14.9536,-3.66211
13.1226,15.8691,-7.32422
14.0381,15.2588,-14.6484
13.4277,12.5122,8.54492
15.2588,14.6484,-12.207
13.7329,15.2588,-12.207
13.7329,13.4277,-8.54492
13.7329,14.9536,-4.88281
14.3433,14.3433,-4.88281
13.4277,14.3433,-7.32422
13.7329,14.6484,-10.9863
14.3433,15.564,-3.66211
13.1226,14.9536,-9.76562
14.6484,14.9536,-15.8691
13.1226,15.2588,-8.54492
14.9536,14.6484,-6.10352
16.4795,10.9863,3.66211
14.9536,14.0381,-9.76562
13.4277,15.8691,-12.207
16.1743,13.1226,-7.32422
14.6484,13.7329,-13.4277
13.1226,14.9536,-7.32422
14.3433,14.9536,-4.88281
14.3433,14.3433,-13.4277
14.3433,14.9536,-14.6484
13.4277,15.2588,-10.9863
14.6484,14.6484,-3.66211
13.7329,14.9536,-6.10352
13.7329,14.9536,-7.32422
14.3433,14.9536,-9.76562
14.3433,14.6484,-8.54492
13.7329,15.564,-6.10352
