Force in X axis (N),Force in Y axis (N),Force in Z axis (N)
-6.71387,-6.71387,37.8418
-5.79834,-5.49316,48.8281
-4.88281,-5.79834,40.2832
-5.18799,-7.32422,58.5938
-4.88281,-6.10352,41.5039
-6.10352,-6.71387,40.2832
-5.18799,-5.18799,41.5039
-4.88281,-5.18799,36.6211
-5.49316,-5.18799,40.2832
-2.74658,-7.01904,39.0625
-6.10352,-6.40869,41.5039
-4.88281,-6.10352,35.4004
-4.88281,-5.79834,34.1797
-5.18799,-6.10352,39.0625
-6.10352,-4.27246,34.1797
-6.40869,-6.40869,42.7246
-4.88281,-3.66211,29.2969
-5.18799,-6.10352,41.5039
-6.71387,-4.57764,41.5039
-7.62939,-1.2207,32.959
-5.79834,-5.79834,46.3867
-4.27246,-5.18799,48.8281
-5.79834,-5.49316,46.3867
-5.79834,-7.01904,39.0625
-5.49316,-4.88281,41.5039
-5.49316,-4.88281,42.7246
-5.18799,-5.79834,47.6074
-5.49316,-6.10352,42.7246
-5.79834,-3.35693,35.4004
-5.18799,-5.18799,42.7246
-3.66211,-8.54492,48.8281
-7.62939,-4.27246,42.7246
-2.74658,-7.32422,45.166
-5.49316,-4.88281,41.5039
-4.88281,-5.79834,35.4004
-3.35693,-7.62939,46.3867
-4.57764,-6.10352,40.2832
-5.79834,-5.79834,43.9453
-4.57764,-5.79834,39.0625
-3.96729,-6.40869,43.9453
-5.79834,-6.40869,53.7109
-3.96729,-6.71387,37.8418
-5.49316,-7.01904,41.5039
-3.96729,-4.57764,41.5039
-5.79834,-4.57764,39.0625
-4.57764,-5.18799,39.0625
-4.57764,-5.18799,32.959
-5.49316,-6.71387,40.2832
-4.27246,-5.79834,35.4004
-3.96729,-4.88281,31.7383
-5.49316,-6.10352,40.2832
-4.57764,-4.27246,41.5039
-7.93457,-3.05176,29.2969
-2.74658,-8.54492,42.7246
-7.93457,-4.88281,39.0625
-6.40869,-5.18799,34.1797
-5.18799,-7.93457,47.6074
-4.88281,-6.40869,42.7246
-3.96729,-6.10352,35.4004
-3.96729,-5.79834,39.0625
-6.10352,-6.10352,31.7383
-5.79834,-5.18799,36.6211
-6.71387,-5.49316,41.5039
-4.57764,-6.10352,37.8418
-2.74658,-6.40869,37.8418
-4.57764,-5.18799,40.2832
-4.88281,-5.49316,41.5039
-5.79834,-6.71387,37.8418
-5.18799,-5.49316,30.5176
-7.93457,-4.27246,25.6348
-5.18799,-4.57764,37.8418
-4.88281,-6.10352,43.9453
