Force in X axis (N),Force in Y axis (N),Force in Z axis (N)
-6.71387,-4.88281,48.8281
-5.18799,-6.40869,41.5039
-4.88281,-5.79834,41.5039
-5.18799,-5.79834,46.3867
-2.74658,-10.9863,42.7246
-5.18799,-5.79834,43.9453
-5.49316,-2.13623,20.752
-5.49316,-5.79834,50.0488
-5.18799,-5.79834,41.5039
-5.18799,-5.18799,42.7246
-5.49316,-5.79834,41.5039
-5.18799,-5.79834,53.7109
-4.57764,-5.49316,42.7246
-4.88281,-5.18799,45.166
-4.88281,-6.40869,47.6074
-3.66211,-6.71387,50.0488
-6.40869,-5.18799,36.6211
-5.49316,-5.49316,50.0488
-7.01904,-4.27246,37.8418
-4.88281,-4.88281,41.5039
-4.88281,-5.18799,41.5039
-6.40869,-8.23975,62.2559
-3.05176,-9.46045,52.4902
-0.610352,-7.62939,43.9453
-7.62939,-5.79834,43.9453
-4.88281,-5.79834,45.166
-5.49316,-5.79834,39.0625
-5.49316,-5.18799,42.7246
-1.52588,-8.23975,41.5039
-7.01904,-5.49316,45.166
-5.79834,-7.01904,34.1797
-5.18799,-4.88281,43.9453
-5.18799,-4.88281,43.9453
-7.01904,-5.79834,39.0625
-5.18799,-6.40869,40.2832
-2.44141,-7.62939,50.0488
-5.18799,-5.79834,45.166
-5.18799,-7.01904,36.6211
-6.40869,-2.74658,29.2969
-4.88281,-6.10352,37.8418
-9.15527,-2.13623,32.959
-6.71387,-5.79834,39.0625
-6.10352,-5.79834,40.2832
-6.40869,-5.79834,41.5039
-6.40869,-6.71387,45.166
-5.18799,-5.79834,46.3867
-5.18799,-5.79834,45.166
-4.57764,-6.71387,42.7246
-5.79834,-6.71387,39.0625
-4.88281,-6.71387,34.1797
-4.88281,-7.32422,45.166
-3.66211,-7.32422,36.6211
-5.18799,-8.54492,52.4902
-7.62939,-6.10352,36.6211
-4.27246,-6.10352,30.5176
-3.96729,-6.71387,39.0625
-7.01904,-6.10352,39.0625
-5.49316,-4.57764,35.4004
-5.49316,-4.88281,46.3867
-6.40869,-5.49316,50.0488
-4.88281,-5.18799,47.6074
-5.79834,-5.79834,42.7246
-5.18799,-5.49316,43.9453
-6.10352,-6.10352,29.2969
-4.88281,-5.18799,45.166
-5.18799,-7.01904,42.7246
-5.49316,-6.10352,32.959
-4.27246,-6.40869,42.7246
-4.88281,-5.79834,42.7246
-10.9863,-3.05176,41.5039
