Force in X axis (N),Force in Y axis (N),Force in Z axis (N)
-4.57764,-6.40869,35.4004
-6.71387,-6.71387,43.9453
-5.18799,-5.79834,45.166
-5.49316,-6.10352,41.5039
-6.10352,-6.40869,37.8418
-5.79834,-5.18799,43.9453
-5.18799,-5.79834,47.6074
-6.10352,-5.18799,31.7383
-6.10352,-6.40869,34.1797
-5.18799,-6.10352,39.0625
-7.01904,-5.49316,41.5039
-5.79834,-6.10352,42.7246
-4.57764,-5.18799,40.2832
-10.376,-2.74658,37.8418
-5.49316,-5.49316,41.5039
-6.10352,-5.18799,39.0625
-6.10352,-4.88281,42.7246
-5.79834,-4.88281,46.3867
-5.18799,-6.71387,39.0625
-10.0708,-3.05176,31.7383
-4.88281,-6.40869,47.6074
-5.79834,-5.18799,39.0625
-5.49316,-5.18799,37.8418
-5.49316,-6.10352,43.9453
-8.54492,-0.305176,30.5176
-8.8501,-3.05176,39.0625
-4.27246,-5.18799,42.7246
-5.49316,-6.40869,39.0625
-5.49316,-5.18799,39.0625
-9.15527,-3.05176,41.5039
-5.79834,-5.49316,30.5176
-6.10352,-3.96729,39.0625
-6.10352,-5.18799,46.3867
-8.8501,-4.57764,36.6211
-5.18799,-6.40869,35.4004
-5.79834,-5.49316,43.9453
-5.18799,-7.01904,57.373
-5.49316,-5.18799,29.2969
-4.88281,-6.10352,54.9316
-5.79834,-4.57764,43.9453
-5.49316,-5.18799,45.166
-5.79834,-5.79834,46.3867
-2.74658,-9.15527,45.166
-5.18799,-5.18799,45.166
-7.01904,-6.40869,46.3867
-6.10352,-5.49316,42.7246
-3.96729,-4.88281,47.6074
-6.40869,-5.79834,40.2832
-5.18799,-6.10352,40.2832
-4.57764,-5.18799,37.8418
-6.40869,-4.57764,48.8281
-6.10352,-6.10352,36.6211
-3.05176,-7.62939,54.9316
-6.71387,-3.96729,41.5039
-5.18799,-6.10352,47.6074
-4.88281,-6.71387,43.9453
-5.18799,-6.10352,29.2969
-3.66211,-6.40869,42.7246
-1.52588,-7.62939,48.8281
-6.10352,-5.18799,40.2832
-5.18799,-6.40869,40.2832
-5.49316,-4.88281,47.6074
-5.49316,-5.18799,43.9453
-4.57764,-7.32422,43.9453
-4.27246,-5.18799,48.8281
-2.13623,-8.8501,47.6074
-6.10352,-5.49316,43.9453
-5.79834,-5.49316,40.2832
-3.66211,-5.18799,36.6211
-5.18799,-6.10352,47.6074
-4.88281,-3.35693,29.2969
-5.49316,-5.79834,42.7246
-6.40869,-5.49316,45.166
-5.18799,-4.57764,43.9453
-5.49316,-5.18799,45.166
-5.79834,-6.40869,53.7109
-6.10352,-5.79834,35.4004
-3.96729,-6.40869,41.5039
-5.49316,-6.10352,50.0488
-6.71387,-5.79834,39.0625
-3.96729,-5.79834,43.9453
-3.05176,-6.10352,42.7246
-5.18799,-6.40869,42.7246
-8.8501,-3.96729,39.0625
-5.79834,-5.79834,43.9453
-3.96729,-5.18799,36.6211
-7.01904,-5.18799,43.9453
-5.79834,-4.88281,42.7246
-4.57764,-5.49316,42.7246
-5.18799,-5.49316,46.3867
-5.79834,-5.79834,46.3867
-3.66211,-7.93457,35.4004
-4.88281,-5.79834,37.8418
-6.71387,-5.18799,47.6074
-4.57764,-5.79834,37.8418
-4.88281,-5.79834,51.2695
-5.18799,-4.57764,35.4004
-4.88281,-6.10352,35.4004
-5.49316,-4.57764,42.7246
-5.79834,-5.79834,43.9453
-5.79834,-5.18799,45.166
-5.79834,-6.71387,43.9453
-5.18799,-4.88281,40.2832
-10.6812,-1.2207,39.0625
-7.32422,-3.66211,41.5039
-5.18799,-7.62939,42.7246
-5.18799,-6.71387,40.2832
-5.49316,-5.79834,43.9453
-5.79834,-6.10352,47.6074
-6.40869,-6.40869,43.9453
-5.79834,-5.18799,32.959
-1.83105,-8.8501,52.4902
